FECHA (YYMMDD);HORA (HHMM);;
050101;0100;90;
050101;0200;93;
050101;0300;93;
050101;0400;93;
050101;0500;93;
050101;0600;94;
050101;0700;94;
050101;0800;94;
050101;0900;91;
050101;1000;84;
050101;1100;76;
050101;1200;72;
050101;1300;65;
050101;1400;61;
050101;1500;59;
050101;1600;57;
050101;1700;58;
050101;1800;59;
050101;1900;62;
050101;2000;68;
050101;2100;74;
050101;2200;82;
050101;2300;85;
050102;0000;;
050102;0100;89;
050102;0200;92;
050102;0300;91;
050102;0400;92;
050102;0500;91;
050102;0600;90;
050102;0700;93;
050102;0800;89;
050102;0900;81;
050102;1000;68;
050102;1100;58;
050102;1200;51;
050102;1300;46;
050102;1400;51;
050102;1500;58;
050102;1600;59;
050102;1700;55;
050102;1800;52;
050102;1900;45;
050102;2000;45;
050102;2100;55;
050102;2200;72;
050102;2300;82;
050103;0000;;
050103;0100;90;
050103;0200;91;
050103;0300;93;
050103;0400;95;
050103;0500;96;
050103;0600;94;
050103;0700;94;
050103;0800;92;
050103;0900;86;
050103;1000;73;
050103;1100;63;
050103;1200;58;
050103;1300;53;
050103;1400;47;
050103;1500;46;
050103;1600;48;
050103;1700;52;
050103;1800;51;
050103;1900;54;
050103;2000;58;
050103;2100;70;
050103;2200;78;
050103;2300;78;
050104;0000;;
050104;0100;78;
050104;0200;79;
050104;0300;78;
050104;0400;79;
050104;0500;79;
050104;0600;80;
050104;0700;79;
050104;0800;78;
050104;0900;75;
050104;1000;73;
050104;1100;70;
050104;1200;59;
050104;1300;54;
050104;1400;49;
050104;1500;41;
050104;1600;38;
050104;1700;38;
050104;1800;39;
050104;1900;42;
050104;2000;49;
050104;2100;58;
050104;2200;68;
050104;2300;75;
050105;0000;;
050105;0100;83;
050105;0200;75;
050105;0300;87;
050105;0400;94;
050105;0500;92;
050105;0600;92;
050105;0700;93;
050105;0800;92;
050105;0900;82;
050105;1000;73;
050105;1100;59;
050105;1200;55;
050105;1300;47;
050105;1400;39;
050105;1500;33;
050105;1600;34;
050105;1700;36;
050105;1800;36;
050105;1900;36;
050105;2000;37;
050105;2100;41;
050105;2200;54;
050105;2300;63;
050106;0000;;
050106;0100;84;
050106;0200;87;
050106;0300;93;
050106;0400;95;
050106;0500;96;
050106;0600;97;
050106;0700;98;
050106;0800;93;
050106;0900;73;
050106;1000;61;
050106;1100;52;
050106;1200;41;
050106;1300;39;
050106;1400;38;
050106;1500;36;
050106;1600;37;
050106;1700;42;
050106;1800;43;
050106;1900;43;
050106;2000;46;
050106;2100;53;
050106;2200;61;
050106;2300;68;
050107;0000;;
050107;0100;79;
050107;0200;84;
050107;0300;86;
050107;0400;92;
050107;0500;96;
050107;0600;97;
050107;0700;97;
050107;0800;97;
050107;0900;72;
050107;1000;63;
050107;1100;55;
050107;1200;49;
050107;1300;42;
050107;1400;42;
050107;1500;42;
050107;1600;42;
050107;1700;43;
050107;1800;44;
050107;1900;44;
050107;2000;48;
050107;2100;58;
050107;2200;68;
050107;2300;78;
050108;0000;;
050108;0100;91;
050108;0200;93;
050108;0300;96;
050108;0400;97;
050108;0500;93;
050108;0600;90;
050108;0700;89;
050108;0800;88;
050108;0900;84;
050108;1000;77;
050108;1100;78;
050108;1200;79;
050108;1300;65;
050108;1400;75;
050108;1500;69;
050108;1600;68;
050108;1700;70;
050108;1800;65;
050108;1900;61;
050108;2000;59;
050108;2100;64;
050108;2200;66;
050108;2300;72;
050109;0000;;
050109;0100;78;
050109;0200;86;
050109;0300;94;
050109;0400;96;
050109;0500;97;
050109;0600;98;
050109;0700;98;
050109;0800;97;
050109;0900;77;
050109;1000;65;
050109;1100;53;
050109;1200;47;
050109;1300;42;
050109;1400;38;
050109;1500;36;
050109;1600;35;
050109;1700;33;
050109;1800;40;
050109;1900;44;
050109;2000;47;
050109;2100;54;
050109;2200;65;
050109;2300;76;
050110;0000;;
050110;0100;89;
050110;0200;93;
050110;0300;96;
050110;0400;96;
050110;0500;96;
050110;0600;98;
050110;0700;99;
050110;0800;98;
050110;0900;73;
050110;1000;64;
050110;1100;55;
050110;1200;48;
050110;1300;40;
050110;1400;39;
050110;1500;34;
050110;1600;37;
050110;1700;39;
050110;1800;39;
050110;1900;30;
050110;2000;37;
050110;2100;46;
050110;2200;56;
050110;2300;67;
050111;0000;;
050111;0100;87;
050111;0200;84;
050111;0300;84;
050111;0400;83;
050111;0500;90;
050111;0600;93;
050111;0700;89;
050111;0800;86;
050111;0900;83;
050111;1000;70;
050111;1100;55;
050111;1200;58;
050111;1300;53;
050111;1400;55;
050111;1500;52;
050111;1600;45;
050111;1700;42;
050111;1800;41;
050111;1900;47;
050111;2000;47;
050111;2100;49;
050111;2200;60;
050111;2300;70;
050112;0000;;
050112;0100;84;
050112;0200;89;
050112;0300;89;
050112;0400;94;
050112;0500;96;
050112;0600;97;
050112;0700;99;
050112;0800;99;
050112;0900;90;
050112;1000;66;
050112;1100;51;
050112;1200;39;
050112;1300;36;
050112;1400;36;
050112;1500;36;
050112;1600;36;
050112;1700;37;
050112;1800;41;
050112;1900;44;
050112;2000;48;
050112;2100;54;
050112;2200;62;
050112;2300;71;
050113;0000;;
050113;0100;83;
050113;0200;88;
050113;0300;91;
050113;0400;93;
050113;0500;92;
050113;0600;91;
050113;0700;93;
050113;0800;86;
050113;0900;73;
050113;1000;64;
050113;1100;56;
050113;1200;51;
050113;1300;46;
050113;1400;43;
050113;1500;39;
050113;1600;43;
050113;1700;46;
050113;1800;47;
050113;1900;49;
050113;2000;54;
050113;2100;61;
050113;2200;72;
050113;2300;77;
050114;0000;;
050114;0100;76;
050114;0200;76;
050114;0300;77;
050114;0400;77;
050114;0500;78;
050114;0600;80;
050114;0700;83;
050114;0800;83;
050114;0900;74;
050114;1000;64;
050114;1100;56;
050114;1200;50;
050114;1300;45;
050114;1400;46;
050114;1500;44;
050114;1600;39;
050114;1700;;
050114;1800;;
050114;1900;;
050114;2000;;
050114;2100;;
050114;2200;;
050114;2300;;
050115;0000;;
050115;0100;;
050115;0200;;
050115;0300;;
050115;0400;;
050115;0500;;
050115;0600;;
050115;0700;;
050115;0800;;
050115;0900;;
050115;1000;;
050115;1100;;
050115;1200;;
050115;1300;;
050115;1400;;
050115;1500;;
050115;1600;;
050115;1700;;
050115;1800;;
050115;1900;;
050115;2000;;
050115;2100;;
050115;2200;;
050115;2300;;
050116;0000;;
050116;0100;;
050116;0200;;
050116;0300;;
050116;0400;;
050116;0500;;
050116;0600;;
050116;0700;;
050116;0800;;
050116;0900;;
050116;1000;;
050116;1100;;
050116;1200;;
050116;1300;;
050116;1400;;
050116;1500;;
050116;1600;;
050116;1700;;
050116;1800;;
050116;1900;;
050116;2000;;
050116;2100;;
050116;2200;;
050116;2300;;
050117;0000;;
050117;0100;84;
050117;0200;87;
050117;0300;89;
050117;0400;91;
050117;0500;91;
050117;0600;93;
050117;0700;94;
050117;0800;94;
050117;0900;87;
050117;1000;71;
050117;1100;61;
050117;1200;53;
050117;1300;47;
050117;1400;40;
050117;1500;33;
050117;1600;26;
050117;1700;32;
050117;1800;35;
050117;1900;40;
050117;2000;44;
050117;2100;52;
050117;2200;61;
050117;2300;68;
050118;0000;;
050118;0100;78;
050118;0200;85;
050118;0300;86;
050118;0400;90;
050118;0500;92;
050118;0600;93;
050118;0700;92;
050118;0800;85;
050118;0900;70;
050118;1000;60;
050118;1100;54;
050118;1200;46;
050118;1300;38;
050118;1400;35;
050118;1500;36;
050118;1600;34;
050118;1700;33;
050118;1800;36;
050118;1900;38;
050118;2000;38;
050118;2100;50;
050118;2200;67;
050118;2300;78;
050119;0000;;
050119;0100;89;
050119;0200;93;
050119;0300;95;
050119;0400;96;
050119;0500;96;
050119;0600;97;
050119;0700;97;
050119;0800;97;
050119;0900;82;
050119;1000;67;
050119;1100;57;
050119;1200;50;
050119;1300;46;
050119;1400;42;
050119;1500;39;
050119;1600;33;
050119;1700;38;
050119;1800;39;
050119;1900;39;
050119;2000;44;
050119;2100;53;
050119;2200;63;
050119;2300;71;
050120;0000;;
050120;0100;82;
050120;0200;83;
050120;0300;85;
050120;0400;88;
050120;0500;89;
050120;0600;90;
050120;0700;92;
050120;0800;90;
050120;0900;74;
050120;1000;62;
050120;1100;57;
050120;1200;51;
050120;1300;44;
050120;1400;39;
050120;1500;40;
050120;1600;37;
050120;1700;39;
050120;1800;41;
050120;1900;42;
050120;2000;47;
050120;2100;61;
050120;2200;76;
050120;2300;82;
050121;0000;;
050121;0100;78;
050121;0200;76;
050121;0300;75;
050121;0400;73;
050121;0500;77;
050121;0600;78;
050121;0700;82;
050121;0800;81;
050121;0900;77;
050121;1000;67;
050121;1100;64;
050121;1200;66;
050121;1300;63;
050121;1400;63;
050121;1500;62;
050121;1600;66;
050121;1700;76;
050121;1800;92;
050121;1900;93;
050121;2000;92;
050121;2100;92;
050121;2200;92;
050121;2300;94;
050122;0000;;
050122;0100;90;
050122;0200;90;
050122;0300;94;
050122;0400;96;
050122;0500;96;
050122;0600;94;
050122;0700;94;
050122;0800;94;
050122;0900;82;
050122;1000;75;
050122;1100;62;
050122;1200;50;
050122;1300;43;
050122;1400;43;
050122;1500;40;
050122;1600;39;
050122;1700;41;
050122;1800;41;
050122;1900;42;
050122;2000;45;
050122;2100;50;
050122;2200;62;
050122;2300;70;
050123;0000;;
050123;0100;80;
050123;0200;85;
050123;0300;92;
050123;0400;96;
050123;0500;97;
050123;0600;98;
050123;0700;99;
050123;0800;99;
050123;0900;84;
050123;1000;64;
050123;1100;51;
050123;1200;48;
050123;1300;49;
050123;1400;47;
050123;1500;47;
050123;1600;48;
050123;1700;52;
050123;1800;53;
050123;1900;57;
050123;2000;62;
050123;2100;68;
050123;2200;72;
050123;2300;77;
050124;0000;;
050124;0100;87;
050124;0200;93;
050124;0300;94;
050124;0400;94;
050124;0500;93;
050124;0600;92;
050124;0700;92;
050124;0800;91;
050124;0900;81;
050124;1000;60;
050124;1100;48;
050124;1200;41;
050124;1300;39;
050124;1400;38;
050124;1500;36;
050124;1600;36;
050124;1700;33;
050124;1800;31;
050124;1900;40;
050124;2000;46;
050124;2100;51;
050124;2200;59;
050124;2300;68;
050125;0000;;
050125;0100;79;
050125;0200;80;
050125;0300;84;
050125;0400;79;
050125;0500;83;
050125;0600;86;
050125;0700;84;
050125;0800;84;
050125;0900;69;
050125;1000;60;
050125;1100;50;
050125;1200;44;
