FECHA (YYMMDD);HORA (HHMM);;
040331;0100;;
040331;0200;;
040331;0300;;
040331;0400;;
040331;0500;;
040331;0600;;
040331;0700;;
040331;0800;;
040331;0900;;
040331;1000;;
040331;1100;;
040331;1200;;
040331;1300;;
040331;1400;;
040331;1500;;
040331;1600;;
040331;1700;;
040331;1800;;
040331;1900;;
040331;2000;;
040331;2100;;
040331;2200;;
040331;2300;;
040401;0000;996;
040401;0100;996;
040401;0200;996;
040401;0300;996;
040401;0400;996;
040401;0500;997;
040401;0600;998;
040401;0700;998;
040401;0800;998;
040401;0900;999;
040401;1000;1000;
040401;1100;1000;
040401;1200;1000;
040401;1300;1000;
040401;1400;999;
040401;1500;999;
040401;1600;998;
040401;1700;998;
040401;1800;998;
040401;1900;998;
040401;2000;998;
040401;2100;998;
040401;2200;997;
040401;2300;997;
040402;0000;997;
040402;0100;997;
040402;0200;997;
040402;0300;996;
040402;0400;996;
040402;0500;995;
040402;0600;995;
040402;0700;995;
040402;0800;995;
040402;0900;995;
040402;1000;995;
040402;1100;995;
040402;1200;994;
040402;1300;994;
040402;1400;994;
040402;1500;994;
040402;1600;993;
040402;1700;993;
040402;1800;992;
040402;1900;993;
040402;2000;993;
040402;2100;993;
040402;2200;993;
040402;2300;992;
040403;0000;992;
040403;0100;992;
040403;0200;992;
040403;0300;992;
040403;0400;991;
040403;0500;990;
040403;0600;991;
040403;0700;992;
040403;0800;993;
040403;0900;995;
040403;1000;997;
040403;1100;998;
040403;1200;998;
040403;1300;999;
040403;1400;998;
040403;1500;998;
040403;1600;998;
040403;1700;998;
040403;1800;998;
040403;1900;998;
040403;2000;998;
040403;2100;999;
040403;2200;999;
040403;2300;999;
040404;0000;999;
040404;0100;998;
040404;0200;998;
040404;0300;997;
040404;0400;997;
040404;0500;997;
040404;0600;997;
040404;0700;996;
040404;0800;996;
040404;0900;996;
040404;1000;996;
040404;1100;996;
040404;1200;996;
040404;1300;996;
040404;1400;995;
040404;1500;994;
040404;1600;994;
040404;1700;994;
040404;1800;994;
040404;1900;994;
040404;2000;995;
040404;2100;995;
040404;2200;995;
040404;2300;995;
040405;0000;994;
040405;0100;994;
040405;0200;994;
040405;0300;994;
040405;0400;994;
040405;0500;994;
040405;0600;994;
040405;0700;994;
040405;0800;995;
040405;0900;995;
040405;1000;995;
040405;1100;995;
040405;1200;996;
040405;1300;996;
040405;1400;996;
040405;1500;996;
040405;1600;996;
040405;1700;996;
040405;1800;996;
040405;1900;996;
040405;2000;997;
040405;2100;997;
040405;2200;998;
040405;2300;998;
040406;0000;998;
040406;0100;998;
040406;0200;998;
040406;0300;998;
040406;0400;998;
040406;0500;999;
040406;0600;999;
040406;0700;999;
040406;0800;999;
040406;0900;999;
040406;1000;1000;
040406;1100;1000;
040406;1200;1001;
040406;1300;1001;
040406;1400;1001;
040406;1500;1000;
040406;1600;1000;
040406;1700;1001;
040406;1800;1002;
040406;1900;1003;
040406;2000;1003;
040406;2100;1004;
040406;2200;1004;
040406;2300;1004;
040407;0000;1004;
040407;0100;1004;
040407;0200;1004;
040407;0300;1003;
040407;0400;1002;
040407;0500;1002;
040407;0600;1001;
040407;0700;1001;
040407;0800;1000;
040407;0900;1000;
040407;1000;1000;
040407;1100;999;
040407;1200;999;
040407;1300;999;
040407;1400;999;
040407;1500;998;
040407;1600;998;
040407;1700;998;
040407;1800;998;
040407;1900;998;
040407;2000;999;
040407;2100;1000;
040407;2200;1000;
040407;2300;1001;
040408;0000;1002;
040408;0100;1002;
040408;0200;1003;
040408;0300;1003;
040408;0400;1003;
040408;0500;1003;
040408;0600;1003;
040408;0700;1004;
040408;0800;1004;
040408;0900;1004;
040408;1000;1005;
040408;1100;1005;
040408;1200;1005;
040408;1300;1004;
040408;1400;1003;
040408;1500;1002;
040408;1600;1002;
040408;1700;1001;
040408;1800;1001;
040408;1900;1002;
040408;2000;1002;
040408;2100;1002;
040408;2200;1003;
040408;2300;1002;
040409;0000;1002;
040409;0100;1001;
040409;0200;1001;
040409;0300;1001;
040409;0400;1000;
040409;0500;1000;
040409;0600;1001;
040409;0700;1001;
040409;0800;1001;
040409;0900;1001;
040409;1000;1001;
040409;1100;1002;
040409;1200;1002;
040409;1300;1001;
040409;1400;1001;
040409;1500;1002;
040409;1600;1002;
040409;1700;1002;
040409;1800;1002;
040409;1900;1002;
040409;2000;1002;
040409;2100;1003;
040409;2200;1004;
040409;2300;1004;
040410;0000;1004;
040410;0100;1004;
040410;0200;1004;
040410;0300;1004;
040410;0400;1004;
040410;0500;1004;
040410;0600;1004;
040410;0700;1004;
040410;0800;1004;
040410;0900;1004;
040410;1000;1003;
040410;1100;1003;
040410;1200;1002;
040410;1300;1001;
040410;1400;1000;
040410;1500;999;
040410;1600;999;
040410;1700;999;
040410;1800;998;
040410;1900;998;
040410;2000;998;
040410;2100;998;
040410;2200;997;
040410;2300;997;
040411;0000;996;
040411;0100;995;
040411;0200;995;
040411;0300;994;
040411;0400;993;
040411;0500;993;
040411;0600;992;
040411;0700;992;
040411;0800;992;
040411;0900;992;
040411;1000;992;
040411;1100;992;
040411;1200;991;
040411;1300;990;
040411;1400;990;
040411;1500;989;
040411;1600;989;
040411;1700;988;
040411;1800;987;
040411;1900;987;
040411;2000;987;
040411;2100;987;
040411;2200;987;
040411;2300;989;
040412;0000;990;
040412;0100;990;
040412;0200;990;
040412;0300;990;
040412;0400;990;
040412;0500;990;
040412;0600;990;
040412;0700;991;
040412;0800;991;
040412;0900;992;
040412;1000;992;
040412;1100;993;
040412;1200;993;
040412;1300;993;
040412;1400;993;
040412;1500;993;
040412;1600;994;
040412;1700;994;
040412;1800;994;
040412;1900;995;
040412;2000;995;
040412;2100;996;
040412;2200;996;
040412;2300;996;
040413;0000;996;
040413;0100;996;
040413;0200;996;
040413;0300;996;
040413;0400;996;
040413;0500;996;
040413;0600;996;
040413;0700;997;
040413;0800;998;
040413;0900;998;
040413;1000;999;
040413;1100;999;
040413;1200;999;
040413;1300;999;
040413;1400;1000;
040413;1500;1000;
040413;1600;1000;
040413;1700;1001;
040413;1800;1002;
040413;1900;1002;
040413;2000;1003;
040413;2100;1004;
040413;2200;1005;
040413;2300;1005;
040414;0000;1005;
040414;0100;1005;
040414;0200;1005;
040414;0300;1005;
040414;0400;1005;
040414;0500;1005;
040414;0600;1006;
040414;0700;1006;
040414;0800;1006;
040414;0900;1006;
040414;1000;1006;
040414;1100;1006;
040414;1200;1006;
040414;1300;1005;
040414;1400;1005;
040414;1500;1004;
040414;1600;1004;
040414;1700;1004;
040414;1800;1004;
040414;1900;1004;
040414;2000;1005;
040414;2100;1005;
040414;2200;1005;
040414;2300;1005;
040415;0000;1005;
040415;0100;1005;
040415;0200;1004;
040415;0300;1004;
040415;0400;1003;
040415;0500;1003;
040415;0600;1002;
040415;0700;1002;
040415;0800;1002;
040415;0900;1002;
040415;1000;1003;
040415;1100;1002;
040415;1200;1002;
040415;1300;1002;
040415;1400;1001;
040415;1500;1000;
040415;1600;1000;
040415;1700;1000;
040415;1800;1001;
040415;1900;1001;
040415;2000;1001;
040415;2100;1001;
040415;2200;1001;
040415;2300;1002;
040416;0000;1002;
040416;0100;1002;
040416;0200;1002;
040416;0300;1002;
040416;0400;1002;
040416;0500;1002;
040416;0600;1002;
040416;0700;1003;
040416;0800;1004;
040416;0900;1005;
040416;1000;1006;
040416;1100;1006;
040416;1200;1006;
040416;1300;1006;
040416;1400;1006;
040416;1500;1006;
040416;1600;1006;
040416;1700;1006;
040416;1800;1007;
040416;1900;1007;
040416;2000;1007;
040416;2100;1007;
040416;2200;1007;
040416;2300;1007;
040417;0000;1007;
040417;0100;1007;
040417;0200;1007;
040417;0300;1007;
040417;0400;1007;
040417;0500;1007;
040417;0600;1007;
040417;0700;1006;
040417;0800;1006;
040417;0900;1007;
040417;1000;1006;
040417;1100;1006;
040417;1200;1006;
040417;1300;1005;
040417;1400;1004;
040417;1500;1004;
040417;1600;1003;
040417;1700;1003;
040417;1800;1004;
040417;1900;1005;
040417;2000;1006;
040417;2100;1006;
040417;2200;1007;
040417;2300;1008;
040418;0000;1008;
040418;0100;1008;
040418;0200;1009;
040418;0300;1009;
040418;0400;1010;
040418;0500;1009;
040418;0600;1010;
040418;0700;1011;
040418;0800;1011;
040418;0900;1012;
040418;1000;1012;
040418;1100;1012;
040418;1200;1012;
040418;1300;1012;
040418;1400;1012;
040418;1500;1011;
040418;1600;1011;
040418;1700;1011;
040418;1800;1011;
040418;1900;1012;
040418;2000;1012;
040418;2100;1013;
040418;2200;1013;
040418;2300;1013;
040419;0000;1013;
040419;0100;1013;
040419;0200;1013;
040419;0300;1012;
040419;0400;1012;
040419;0500;1011;
040419;0600;1010;
040419;0700;1010;
040419;0800;1010;
040419;0900;1010;
040419;1000;1010;
040419;1100;1009;
040419;1200;1008;
040419;1300;1007;
040419;1400;1006;
040419;1500;1005;
040419;1600;1004;
040419;1700;1003;
040419;1800;1003;
040419;1900;1003;
040419;2000;1003;
040419;2100;1003;
040419;2200;1002;
040419;2300;1002;
040420;0000;1002;
040420;0100;1001;
040420;0200;1000;
040420;0300;999;
040420;0400;998;
040420;0500;996;
040420;0600;995;
040420;0700;994;
040420;0800;993;
040420;0900;992;
040420;1000;992;
040420;1100;992;
040420;1200;992;
040420;1300;991;
040420;1400;991;
040420;1500;990;
040420;1600;990;
040420;1700;990;
040420;1800;990;
040420;1900;990;
040420;2000;990;
040420;2100;991;
040420;2200;991;
040420;2300;991;
040421;0000;991;
040421;0100;991;
040421;0200;991;
040421;0300;991;
040421;0400;991;
040421;0500;991;
040421;0600;992;
040421;0700;994;
040421;0800;995;
040421;0900;996;
040421;1000;997;
040421;1100;997;
040421;1200;997;
040421;1300;997;
040421;1400;996;
040421;1500;996;
040421;1600;996;
040421;1700;996;
040421;1800;997;
040421;1900;997;
040421;2000;998;
040421;2100;998;
040421;2200;999;
040421;2300;1000;
040422;0000;1000;
040422;0100;1000;
040422;0200;1000;
040422;0300;1001;
040422;0400;1001;
040422;0500;1001;
040422;0600;1001;
040422;0700;1002;
040422;0800;1003;
040422;0900;1004;
040422;1000;1004;
040422;1100;1004;
040422;1200;1004;
040422;1300;1004;
040422;1400;1004;
040422;1500;1004;
040422;1600;1004;
040422;1700;1005;
040422;1800;1005;
040422;1900;1005;
040422;2000;1006;
040422;2100;1007;
040422;2200;1007;
040422;2300;1007;
040423;0000;1007;
040423;0100;1006;
040423;0200;1006;
040423;0300;1006;
040423;0400;1006;
040423;0500;1006;
040423;0600;1005;
040423;0700;1005;
040423;0800;1005;
040423;0900;1005;
040423;1000;1005;
040423;1100;1004;
040423;1200;1004;
040423;1300;1003;
040423;1400;1003;
040423;1500;1002;
040423;1600;1002;
040423;1700;1002;
040423;1800;1002;
040423;1900;1003;
040423;2000;1003;
040423;2100;1004;
040423;2200;1005;
040423;2300;1005;
040424;0000;1005;
040424;0100;1005;
040424;0200;1005;
040424;0300;1006;
040424;0400;1006;
040424;0500;1006;
040424;0600;1006;
040424;0700;1006;
040424;0800;1006;
040424;0900;1007;
040424;1000;1007;
040424;1100;1007;
040424;1200;1007;
040424;1300;1007;
040424;1400;1006;
040424;1500;1006;
040424;1600;1006;
040424;1700;1006;
040424;1800;1006;
040424;1900;1007;
040424;2000;1007;
040424;2100;1008;
040424;2200;1008;
040424;2300;1008;
040425;0000;1008;
040425;0100;1008;
040425;0200;1008;
040425;0300;1008;
040425;0400;1007;
040425;0500;1007;
040425;0600;1007;
040425;0700;1007;
040425;0800;1006;
040425;0900;1007;
040425;1000;1007;
040425;1100;1007;
040425;1200;1006;
040425;1300;1005;
040425;1400;1005;
040425;1500;1004;
040425;1600;1004;
040425;1700;1004;
040425;1800;1004;
040425;1900;1004;
040425;2000;1005;
040425;2100;1005;
040425;2200;1005;
040425;2300;1006;
040426;0000;1006;
040426;0100;1006;
040426;0200;1006;
040426;0300;1006;
040426;0400;1006;
040426;0500;1005;
040426;0600;1005;
040426;0700;1005;
040426;0800;1005;
040426;0900;1005;
040426;1000;1005;
040426;1100;1005;
040426;1200;1004;
040426;1300;1004;
040426;1400;1003;
040426;1500;1002;
040426;1600;1002;
040426;1700;1002;
040426;1800;1002;
040426;1900;1002;
040426;2000;1003;
040426;2100;1003;
040426;2200;1003;
040426;2300;1003;
040427;0000;1002;
040427;0100;1001;
040427;0200;1001;
040427;0300;1001;
040427;0400;1001;
040427;0500;1001;
040427;0600;1001;
040427;0700;1000;
040427;0800;1001;
040427;0900;1001;
040427;1000;1001;
