FECHA (YYMMDD);HORA (HHMM);;
080303;0100;;
080303;0200;;
080303;0300;;
080303;0400;;
080303;0500;;
080303;0600;;
080303;0700;;
080303;0800;;
080303;0900;;
080303;1000;;
080303;1100;;
080303;1200;;
080303;1300;;
080303;1400;;
080303;1500;;
080303;1600;0;
080303;1700;0;
080303;1800;0;
080303;1900;0;
080303;2000;0;
080303;2100;0;
080303;2200;0;
080303;2300;0;
080304;0000;0;
080304;0100;0;
080304;0200;0;
080304;0300;0;
080304;0400;0;
080304;0500;0;
080304;0600;0;
080304;0700;0;
080304;0800;0;
080304;0900;0;
080304;1000;0;
080304;1100;0;
080304;1200;0;
080304;1300;0;
080304;1400;0;
080304;1500;0;
080304;1600;0;
080304;1700;0;
080304;1800;0;
080304;1900;0;
080304;2000;0;
080304;2100;;
080304;2200;;
080304;2300;;
080305;0000;;
080305;0100;;
080305;0200;;
080305;0300;;
080305;0400;;
080305;0500;;
080305;0600;;
080305;0700;;
080305;0800;;
080305;0900;;
080305;1000;;
080305;1100;;
080305;1200;;
080305;1300;;
080305;1400;;
080305;1500;;
080305;1600;;
080305;1700;;
080305;1800;;
080305;1900;;
080305;2000;;
080305;2100;;
080305;2200;;
080305;2300;;
080306;0000;;
080306;0100;;
080306;0200;;
080306;0300;;
080306;0400;;
080306;0500;;
080306;0600;;
080306;0700;;
080306;0800;;
080306;0900;;
080306;1000;;
080306;1100;;
080306;1200;;
080306;1300;;
080306;1400;;
080306;1500;;
080306;1600;;
080306;1700;;
080306;1800;;
080306;1900;;
080306;2000;;
080306;2100;;
080306;2200;;
080306;2300;;
080307;0000;;
080307;0100;;
080307;0200;;
080307;0300;;
080307;0400;;
080307;0500;;
080307;0600;;
080307;0700;;
080307;0800;;
080307;0900;;
080307;1000;;
080307;1100;;
080307;1200;;
080307;1300;;
080307;1400;;
080307;1500;;
080307;1600;;
080307;1700;;
080307;1800;;
080307;1900;;
080307;2000;;
080307;2100;;
080307;2200;;
080307;2300;;
080308;0000;;
080308;0100;;
080308;0200;;
080308;0300;;
080308;0400;;
080308;0500;;
080308;0600;;
080308;0700;;
080308;0800;;
080308;0900;;
080308;1000;;
080308;1100;;
080308;1200;;
080308;1300;;
080308;1400;;
080308;1500;;
080308;1600;;
080308;1700;;
080308;1800;;
080308;1900;;
080308;2000;;
080308;2100;;
080308;2200;;
080308;2300;;
080309;0000;;
080309;0100;;
080309;0200;;
080309;0300;;
080309;0400;;
080309;0500;;
080309;0600;;
080309;0700;;
080309;0800;;
080309;0900;;
080309;1000;;
080309;1100;;
080309;1200;;
080309;1300;;
080309;1400;;
080309;1500;;
080309;1600;;
080309;1700;;
080309;1800;;
080309;1900;;
080309;2000;;
080309;2100;;
080309;2200;;
080309;2300;;
080310;0000;;
080310;0100;;
080310;0200;;
080310;0300;;
080310;0400;;
080310;0500;;
080310;0600;;
080310;0700;;
080310;0800;;
080310;0900;;
080310;1000;;
080310;1100;;
080310;1200;;
080310;1300;;
080310;1400;;
080310;1500;;
080310;1600;;
080310;1700;;
080310;1800;;
080310;1900;;
080310;2000;;
080310;2100;;
080310;2200;;
080310;2300;;
080311;0000;;
080311;0100;;
080311;0200;;
080311;0300;;
080311;0400;;
080311;0500;;
080311;0600;;
080311;0700;;
080311;0800;;
080311;0900;;
080311;1000;;
080311;1100;;
080311;1200;;
080311;1300;;
080311;1400;;
080311;1500;;
080311;1600;;
080311;1700;;
080311;1800;;
080311;1900;;
080311;2000;;
080311;2100;;
080311;2200;;
080311;2300;;
080312;0000;;
080312;0100;;
080312;0200;;
080312;0300;;
080312;0400;;
080312;0500;;
080312;0600;;
080312;0700;;
080312;0800;;
080312;0900;;
080312;1000;;
080312;1100;;
080312;1200;;
080312;1300;;
080312;1400;;
080312;1500;;
080312;1600;;
080312;1700;;
080312;1800;;
080312;1900;;
080312;2000;;
080312;2100;;
080312;2200;;
080312;2300;;
080313;0000;;
080313;0100;;
080313;0200;;
080313;0300;;
080313;0400;;
080313;0500;;
080313;0600;;
080313;0700;;
080313;0800;;
080313;0900;;
080313;1000;;
080313;1100;;
080313;1200;;
080313;1300;;
080313;1400;;
080313;1500;;
080313;1600;;
080313;1700;;
080313;1800;;
080313;1900;;
080313;2000;;
080313;2100;;
080313;2200;;
080313;2300;;
080314;0000;;
080314;0100;;
080314;0200;;
080314;0300;;
080314;0400;;
080314;0500;;
080314;0600;;
080314;0700;;
080314;0800;;
080314;0900;;
080314;1000;;
080314;1100;;
080314;1200;;
080314;1300;;
080314;1400;;
080314;1500;;
080314;1600;;
080314;1700;;
080314;1800;;
080314;1900;;
080314;2000;;
080314;2100;;
080314;2200;;
080314;2300;;
080315;0000;;
080315;0100;;
080315;0200;;
080315;0300;;
080315;0400;;
080315;0500;;
080315;0600;;
080315;0700;;
080315;0800;;
080315;0900;;
080315;1000;;
080315;1100;;
080315;1200;;
080315;1300;;
080315;1400;;
080315;1500;;
080315;1600;;
080315;1700;;
080315;1800;;
080315;1900;;
080315;2000;;
080315;2100;;
080315;2200;;
080315;2300;;
080316;0000;;
080316;0100;;
080316;0200;;
080316;0300;;
080316;0400;;
080316;0500;;
080316;0600;;
080316;0700;;
080316;0800;;
080316;0900;;
080316;1000;;
080316;1100;;
080316;1200;;
080316;1300;;
080316;1400;;
080316;1500;;
