FECHA (YYMMDD);HORA (HHMM);;
040331;0100;;
040331;0200;;
040331;0300;;
040331;0400;;
040331;0500;;
040331;0600;;
040331;0700;;
040331;0800;;
040331;0900;;
040331;1000;;
040331;1100;;
040331;1200;;
040331;1300;;
040331;1400;;
040331;1500;;
040331;1600;;
040331;1700;;
040331;1800;;
040331;1900;;
040331;2000;;
040331;2100;;
040331;2200;;
040331;2300;;
040401;0000;14,5;
040401;0100;14,5;
040401;0200;14,3;
040401;0300;14,4;
040401;0400;14,2;
040401;0500;13,7;
040401;0600;13,5;
040401;0700;13,4;
040401;0800;13,3;
040401;0900;13,6;
040401;1000;14,4;
040401;1100;15,3;
040401;1200;16;
040401;1300;16,7;
040401;1400;17;
040401;1500;18;
040401;1600;18;
040401;1700;17,6;
040401;1800;16,9;
040401;1900;16,4;
040401;2000;15,9;
040401;2100;15,9;
040401;2200;15,8;
040401;2300;15,4;
040402;0000;15,2;
040402;0100;14,5;
040402;0200;13,8;
040402;0300;13,8;
040402;0400;14;
040402;0500;14,3;
040402;0600;13,8;
040402;0700;14,3;
040402;0800;14,9;
040402;0900;15,2;
040402;1000;15,4;
040402;1100;16;
040402;1200;17;
040402;1300;17,5;
040402;1400;17,3;
040402;1500;17;
040402;1600;17,2;
040402;1700;16,8;
040402;1800;17,7;
040402;1900;17,9;
040402;2000;17,5;
040402;2100;17,4;
040402;2200;17,3;
040402;2300;17;
040403;0000;17;
040403;0100;16,8;
040403;0200;16,5;
040403;0300;16,2;
040403;0400;16,4;
040403;0500;16,7;
040403;0600;16,2;
040403;0700;15;
040403;0800;14,7;
040403;0900;13,5;
040403;1000;13;
040403;1100;13,5;
040403;1200;14,8;
040403;1300;16,8;
040403;1400;18;
040403;1500;18,1;
040403;1600;17,6;
040403;1700;16,6;
040403;1800;15,9;
040403;1900;15,8;
040403;2000;15,5;
040403;2100;15,3;
040403;2200;14,8;
040403;2300;14,6;
040404;0000;14,7;
040404;0100;15,1;
040404;0200;15,2;
040404;0300;15,4;
040404;0400;15,5;
040404;0500;15,6;
040404;0600;15,4;
040404;0700;15,8;
040404;0800;16,1;
040404;0900;16,6;
040404;1000;17,3;
040404;1100;19;
040404;1200;19,7;
040404;1300;19,8;
040404;1400;20,1;
040404;1500;21;
040404;1600;21,1;
040404;1700;21,4;
040404;1800;20,5;
040404;1900;19,4;
040404;2000;18,5;
040404;2100;18,2;
040404;2200;17,4;
040404;2300;16,6;
040405;0000;16,2;
040405;0100;16,5;
040405;0200;16,4;
040405;0300;16,1;
040405;0400;16,1;
040405;0500;16;
040405;0600;16,3;
040405;0700;16,2;
040405;0800;16,2;
040405;0900;16,8;
040405;1000;17;
040405;1100;17,3;
040405;1200;17;
040405;1300;17,8;
040405;1400;17,2;
040405;1500;15,5;
040405;1600;15;
040405;1700;15,1;
040405;1800;14,9;
040405;1900;15,2;
040405;2000;14,7;
040405;2100;13,7;
040405;2200;12,9;
040405;2300;12,7;
040406;0000;12,1;
040406;0100;12,2;
040406;0200;12,2;
040406;0300;12;
040406;0400;11,4;
040406;0500;11,4;
040406;0600;12,6;
040406;0700;12,2;
040406;0800;11,5;
040406;0900;13,1;
040406;1000;14,3;
040406;1100;14,8;
040406;1200;14,7;
040406;1300;16,3;
040406;1400;17,5;
040406;1500;17,3;
040406;1600;17,6;
040406;1700;15,2;
040406;1800;13,7;
040406;1900;13,6;
040406;2000;12,7;
040406;2100;12,7;
040406;2200;11,4;
040406;2300;11,1;
040407;0000;11,4;
040407;0100;11,4;
040407;0200;11,4;
040407;0300;11,3;
040407;0400;11,3;
040407;0500;11,2;
040407;0600;11,2;
040407;0700;11;
040407;0800;10,9;
040407;0900;11,6;
040407;1000;12,4;
040407;1100;12,9;
040407;1200;16,1;
040407;1300;15,9;
040407;1400;16,4;
040407;1500;15,2;
040407;1600;14,3;
040407;1700;15,8;
040407;1800;15,8;
040407;1900;15,6;
040407;2000;15,7;
040407;2100;15,6;
040407;2200;15,5;
040407;2300;15,1;
040408;0000;14,6;
040408;0100;14,2;
040408;0200;13,7;
040408;0300;13,2;
040408;0400;12,3;
040408;0500;12,2;
040408;0600;12,3;
040408;0700;12,4;
040408;0800;12,5;
040408;0900;12,6;
040408;1000;12,9;
040408;1100;13,7;
040408;1200;15,4;
040408;1300;16,4;
040408;1400;18,6;
040408;1500;19,6;
040408;1600;20,1;
040408;1700;20,5;
040408;1800;19,3;
040408;1900;17,5;
040408;2000;15,8;
040408;2100;14,5;
040408;2200;13,5;
040408;2300;12,4;
040409;0000;11,7;
040409;0100;11,4;
040409;0200;10,9;
040409;0300;11;
040409;0400;10,9;
040409;0500;10,4;
040409;0600;9,5;
040409;0700;10,3;
040409;0800;10,9;
040409;0900;11,8;
040409;1000;12,5;
040409;1100;15,1;
040409;1200;16,8;
040409;1300;17;
040409;1400;16,8;
040409;1500;17,1;
040409;1600;17,8;
040409;1700;17,7;
040409;1800;17;
040409;1900;16,6;
040409;2000;15,8;
040409;2100;14,7;
040409;2200;13,4;
040409;2300;11,9;
040410;0000;11,5;
040410;0100;11,6;
040410;0200;11;
040410;0300;10,7;
040410;0400;10,1;
040410;0500;9,7;
040410;0600;8,89998;
040410;0700;8,39998;
040410;0800;9,09998;
040410;0900;11,1;
040410;1000;13,7;
040410;1100;17;
040410;1200;18,4;
040410;1300;20,4;
040410;1400;21,3;
040410;1500;21,8;
040410;1600;22,4;
040410;1700;21,2;
040410;1800;20,1;
040410;1900;18,7;
040410;2000;18;
040410;2100;17,2;
040410;2200;16,6;
040410;2300;16,4;
040411;0000;16,1;
040411;0100;15,9;
040411;0200;15,8;
040411;0300;15,6;
040411;0400;15,6;
040411;0500;15,5;
040411;0600;16;
040411;0700;16,3;
040411;0800;17;
040411;0900;16,9;
040411;1000;18,5;
040411;1100;18;
040411;1200;17,9;
040411;1300;17,3;
040411;1400;17,1;
040411;1500;16,9;
040411;1600;17,6;
040411;1700;18;
040411;1800;18,8;
040411;1900;18,4;
040411;2000;18,8;
040411;2100;18,9;
040411;2200;16,6;
040411;2300;14,8;
040412;0000;14,4;
040412;0100;14,4;
040412;0200;14,6;
040412;0300;14,4;
040412;0400;14,6;
040412;0500;14,7;
040412;0600;14,7;
040412;0700;14,1;
040412;0800;13,8;
040412;0900;14,1;
040412;1000;15,6;
040412;1100;14,4;
040412;1200;14,9;
040412;1300;16,3;
040412;1400;15,1;
040412;1500;15,8;
040412;1600;15,6;
040412;1700;14,7;
040412;1800;14,7;
040412;1900;13,8;
040412;2000;13,5;
040412;2100;13,5;
040412;2200;13,4;
040412;2300;13,3;
040413;0000;12,4;
040413;0100;12,3;
040413;0200;12,4;
040413;0300;12;
040413;0400;11,7;
040413;0500;11,6;
040413;0600;11,5;
040413;0700;11,6;
040413;0800;11,5;
040413;0900;12,4;
040413;1000;15,4;
040413;1100;16,7;
040413;1200;16,7;
040413;1300;15,8;
040413;1400;16;
040413;1500;14,7;
040413;1600;14,3;
040413;1700;12,4;
040413;1800;12,7;
040413;1900;12,2;
040413;2000;11,1;
040413;2100;11,1;
040413;2200;11;
040413;2300;10,5;
040414;0000;9,89998;
040414;0100;8,89998;
040414;0200;8,39998;
040414;0300;8,29999;
040414;0400;7,8;
040414;0500;7,3;
040414;0600;6,6;
040414;0700;6,7;
040414;0800;7,3;
040414;0900;8,79999;
040414;1000;10,4;
040414;1100;12,5;
040414;1200;13,9;
040414;1300;14,4;
040414;1400;15,4;
040414;1500;15,4;
040414;1600;16,1;
040414;1700;15,4;
040414;1800;13,5;
040414;1900;11;
040414;2000;9,2;
040414;2100;8,5;
040414;2200;7,6;
040414;2300;6,8;
040415;0000;6,39999;
040415;0100;6,8;
040415;0200;6,39999;
040415;0300;6,39999;
040415;0400;5,8;
040415;0500;5,1;
040415;0600;4,2;
040415;0700;4,2;
040415;0800;4,3;
040415;0900;6,1;
040415;1000;9;
040415;1100;11,3;
040415;1200;13,9;
040415;1300;15,5;
040415;1400;16,4;
040415;1500;17,1;
040415;1600;16,6;
040415;1700;15,9;
040415;1800;15,2;
040415;1900;14,2;
040415;2000;13,8;
040415;2100;13,7;
040415;2200;13,2;
040415;2300;13,5;
040416;0000;14;
040416;0100;14;
040416;0200;14;
040416;0300;14,1;
040416;0400;14,1;
040416;0500;14,1;
040416;0600;13,7;
040416;0700;12;
040416;0800;12;
040416;0900;12,4;
040416;1000;13,2;
040416;1100;14,4;
040416;1200;15,6;
040416;1300;15,7;
040416;1400;16,4;
040416;1500;16,6;
040416;1600;16,9;
040416;1700;16;
040416;1800;15,5;
040416;1900;14,2;
040416;2000;12,9;
040416;2100;11,8;
040416;2200;12,1;
040416;2300;11,2;
040417;0000;11,5;
040417;0100;11,6;
040417;0200;11,8;
040417;0300;11,5;
040417;0400;11,2;
040417;0500;11,4;
040417;0600;11,3;
040417;0700;10,9;
040417;0800;10,9;
040417;0900;11,8;
040417;1000;14;
040417;1100;15,7;
040417;1200;16,6;
040417;1300;16,7;
040417;1400;17,6;
040417;1500;16,8;
040417;1600;17,2;
040417;1700;15,1;
040417;1800;13,1;
040417;1900;12,9;
040417;2000;12,2;
040417;2100;11,3;
040417;2200;10,9;
040417;2300;9,89998;
040418;0000;8,79999;
040418;0100;9,29999;
040418;0200;9,29999;
040418;0300;8,29999;
040418;0400;8,89998;
040418;0500;8,7;
040418;0600;8,7;
040418;0700;7,89999;
040418;0800;7,8;
040418;0900;10,2;
040418;1000;12;
040418;1100;13,1;
040418;1200;14,1;
040418;1300;14,3;
040418;1400;15,3;
040418;1500;15,6;
040418;1600;15,8;
040418;1700;14,9;
040418;1800;13,8;
040418;1900;11,9;
040418;2000;10,7;
040418;2100;8,39998;
040418;2200;7,8;
040418;2300;7,1;
040419;0000;6,7;
040419;0100;6;
040419;0200;5,5;
040419;0300;4,8;
040419;0400;4,1;
040419;0500;3,4;
040419;0600;2,9;
040419;0700;2,5;
040419;0800;2,7;
040419;0900;5,5;
040419;1000;7,7;
040419;1100;10,2;
040419;1200;11,7;
040419;1300;13,1;
040419;1400;13,4;
040419;1500;13,9;
040419;1600;14,2;
040419;1700;13,4;
040419;1800;12;
040419;1900;10,7;
040419;2000;10,4;
040419;2100;10,1;
040419;2200;9,79999;
040419;2300;10;
040420;0000;9,39998;
040420;0100;8,79999;
040420;0200;8,59998;
040420;0300;9,09998;
040420;0400;9,39998;
040420;0500;9,09998;
040420;0600;9,39998;
040420;0700;9,7;
040420;0800;10,2;
040420;0900;10,1;
040420;1000;10,6;
040420;1100;11;
040420;1200;11;
040420;1300;12,4;
040420;1400;12,7;
040420;1500;12,6;
040420;1600;12,4;
040420;1700;12,3;
040420;1800;12,1;
040420;1900;12,1;
040420;2000;12,5;
040420;2100;12,7;
040420;2200;12,2;
040420;2300;12,7;
040421;0000;12,1;
040421;0100;13,8;
040421;0200;13,5;
040421;0300;12,8;
040421;0400;12,2;
040421;0500;12;
040421;0600;10,4;
040421;0700;10;
040421;0800;9,5;
040421;0900;9,39998;
040421;1000;10;
040421;1100;10,9;
040421;1200;12,6;
040421;1300;13,2;
040421;1400;13,9;
040421;1500;14,1;
040421;1600;12,6;
040421;1700;12,7;
040421;1800;12;
040421;1900;10;
040421;2000;9,79999;
040421;2100;9,39998;
040421;2200;9,2;
040421;2300;9,2;
040422;0000;8,2;
040422;0100;7,5;
040422;0200;6,89999;
040422;0300;6,1;
040422;0400;6,7;
040422;0500;6,6;
040422;0600;6,89999;
040422;0700;7,3;
040422;0800;6,89999;
040422;0900;7,39999;
040422;1000;9;
040422;1100;10;
040422;1200;11,1;
040422;1300;11,9;
040422;1400;12,6;
040422;1500;13,1;
040422;1600;13,1;
040422;1700;12,9;
040422;1800;12,5;
040422;1900;10,6;
040422;2000;10,8;
040422;2100;10,8;
040422;2200;9,7;
040422;2300;8,09998;
040423;0000;7,39999;
040423;0100;7;
040423;0200;5,89999;
040423;0300;5,3;
040423;0400;5,5;
040423;0500;5,3;
040423;0600;4,5;
040423;0700;3,9;
040423;0800;3,8;
040423;0900;5,3;
040423;1000;8,09998;
040423;1100;10,9;
040423;1200;14,1;
040423;1300;16,6;
040423;1400;17,2;
040423;1500;18,3;
040423;1600;19,1;
040423;1700;18,8;
040423;1800;15,7;
040423;1900;12,4;
040423;2000;10,9;
040423;2100;9,89998;
040423;2200;8,79999;
040423;2300;9,2;
040424;0000;8,79999;
040424;0100;8,2;
040424;0200;8,09998;
040424;0300;7,6;
040424;0400;7,3;
040424;0500;5,89999;
040424;0600;6,39999;
040424;0700;6,1;
040424;0800;6,3;
