datetime,Estacion,direccion_viento,velocidad_viento,humedad_relativa,precipitaciones,presion_atmosferica,temperatura_ambiente,"mp_2,5"
2012-03-30 01:00:00,otoño,0.94,0.0,0.0,0.0,987.0,,0.0
2012-03-30 02:00:00,otoño,0.82,0.0,0.02,0.0,987.0,,0.0
2012-03-30 03:00:00,otoño,0.02,0.0,0.0,0.0,987.0,,0.0
2012-03-30 04:00:00,otoño,0.0599999,0.00999999,0.02,0.0,987.0,,0.0
2012-03-30 05:00:00,otoño,0.18,0.0,0.02,0.0,987.0,,0.0
2012-03-30 06:00:00,otoño,0.41,0.0,0.00999999,0.0,987.0,,0.0
2012-03-30 07:00:00,otoño,0.9599989999999999,0.0,0.0,0.0,987.0,,0.0
2012-03-30 08:00:00,otoño,1.01,0.0,0.0,0.0,987.0,,0.0
2012-03-30 09:00:00,otoño,0.52,0.0,0.00999999,0.0,987.0,,0.0
2012-03-30 10:00:00,otoño,0.86,0.0,0.07999989999999998,0.0,987.0,,0.0
2012-03-30 11:00:00,otoño,9.39,9.649989999999999,0.0,0.0,987.0,,0.0
2012-03-30 12:00:00,otoño,4.95,8.03999,0.0,0.0,987.0,,0.0
2012-03-30 13:00:00,otoño,60.72,24.38,0.02,0.0,987.0,,0.0
2012-03-30 14:00:00,otoño,70.5599,25.57,0.16,0.0,987.0,,0.0
2012-03-30 15:00:00,otoño,2.57,7.189989999999999,3.2,0.0,987.0,,0.0
2012-03-30 19:00:00,otoño,,0.0,0.0,0.0,987.0,,0.0
2012-03-30 21:00:00,otoño,1.68,14.24,0.0,0.0,987.0,,0.0
2012-03-30 22:00:00,otoño,0.8399989999999999,9.37999,0.0,0.0,987.0,,0.0
2012-03-30 23:00:00,otoño,15.7,11.99,0.0,0.0,987.0,,0.0
2012-03-31 00:00:00,otoño,0.0,3.92,0.0,0.0,987.0,,0.0
2012-03-31 01:00:00,otoño,0.0,2.85,0.0,0.0,987.0,,0.0
2012-03-31 02:00:00,otoño,0.0,1.14,0.0,0.0,987.0,,0.0
2012-03-31 03:00:00,otoño,0.0,0.849999,0.0,0.0,987.0,,0.0
2012-03-31 04:00:00,otoño,0.0,0.52,0.0,0.0,987.0,,0.0
2012-03-31 05:00:00,otoño,0.0,0.52,0.0,0.0,987.0,,0.0
2012-03-31 06:00:00,otoño,0.0,0.889999,0.0,0.0,987.0,,0.0
2012-03-31 07:00:00,otoño,0.0,1.02,0.0,0.0,987.0,,0.0
2012-03-31 08:00:00,otoño,0.0,2.54,0.0,0.0,987.0,,0.0
2012-04-20 20:00:00,otoño,174.0,1.4,86.0,0.0,1006.0,12.1,108.0
2012-04-20 21:00:00,otoño,226.0,0.9,90.0,0.0,1006.0,11.3,77.2
2012-04-20 22:00:00,otoño,190.0,0.9,94.0,0.0,1006.0,10.3,114.2
