datetime,Estacion,direccion_viento,humedad_relativa,precipitaciones,presion_atmosferica,temperatura_ambiente,velocidad_viento,"mp_2,5"
2017-05-11 11:00:00,otoño,55.0,9.0,0.2,994.0,13.4,1.3,41.0
2017-05-11 12:00:00,otoño,53.0,9.0,0.0,993.0,14.6,2.4,11.0
2017-05-11 13:00:00,otoño,53.0,7.0,0.0,992.0,16.7,2.4,11.0
2017-05-11 14:00:00,otoño,34.0,11.0,0.0,992.0,17.0,1.5,7.0
2017-05-11 15:00:00,otoño,338.0,18.0,0.0,991.0,16.9,0.8,3.0
2017-05-11 16:00:00,otoño,286.0,21.0,0.0,991.0,16.9,0.7,3.0
2017-05-11 17:00:00,otoño,267.0,22.0,0.0,990.0,15.8,0.6,2.0
2017-05-11 18:00:00,otoño,23.0,16.0,0.2,991.0,15.7,1.5,4.0
2017-05-11 19:00:00,otoño,53.0,15.0,0.0,991.0,16.1,2.0,11.0
2017-05-11 20:00:00,otoño,55.0,14.0,0.0,991.0,15.7,3.4,13.0
2017-05-11 21:00:00,otoño,36.0,16.0,0.0,992.0,14.0,0.9,21.0
2017-05-11 22:00:00,otoño,4.0,18.0,0.0,992.0,13.0,0.6,22.0
2017-05-11 23:00:00,otoño,354.0,18.0,0.2,992.0,13.0,0.4,2.0
2017-05-12 00:00:00,otoño,307.0,19.0,0.4,993.0,12.7,0.3,4.0
2017-05-12 01:00:00,otoño,332.0,21.0,0.0,993.0,12.4,0.3,7.0
2017-05-12 02:00:00,otoño,47.0,16.0,0.0,992.0,14.5,1.7,4.0
2017-05-12 03:00:00,otoño,53.0,15.0,0.0,993.0,14.4,1.1,2.0
2017-05-12 04:00:00,otoño,273.0,17.0,0.0,993.0,13.2,0.4,2.0
2017-05-12 05:00:00,otoño,40.0,16.0,0.0,993.0,14.2,1.3,2.0
2017-05-12 06:00:00,otoño,19.0,15.0,0.0,993.0,14.7,1.3,2.0
2017-05-12 07:00:00,otoño,360.0,17.0,0.0,994.0,13.5,0.5,2.0
2017-05-12 08:00:00,otoño,19.0,17.0,0.0,994.0,14.2,1.2,3.0
2017-05-12 09:00:00,otoño,46.0,15.0,0.0,995.0,15.3,1.4,4.0
2017-05-12 10:00:00,otoño,49.0,15.0,0.0,996.0,15.5,1.4,3.0
2017-05-12 11:00:00,otoño,49.0,15.0,0.0,996.0,15.8,1.5,5.0
2017-05-12 12:00:00,otoño,49.0,15.0,0.0,995.0,16.7,2.5,5.0
2017-05-12 13:00:00,otoño,58.0,15.0,0.0,995.0,17.0,3.0,3.0
2017-05-12 14:00:00,otoño,53.0,14.0,0.0,995.0,17.6,2.6,5.0
2017-05-12 15:00:00,otoño,54.0,16.0,0.0,994.0,18.1,2.7,7.0
2017-05-12 16:00:00,otoño,52.0,17.0,0.0,994.0,19.2,2.6,3.0
2017-05-12 17:00:00,otoño,309.0,9.0,0.0,994.0,17.1,0.7,2.0
2017-05-12 18:00:00,otoño,311.0,5.0,0.0,994.0,14.4,0.2,2.0
2017-05-12 19:00:00,otoño,289.0,6.0,0.0,994.0,13.5,0.1,19.0
2017-05-12 20:00:00,otoño,356.0,6.0,0.0,997.0,13.3,0.3,136.0
2017-05-12 21:00:00,otoño,345.0,6.0,0.0,997.0,12.5,0.5,70.0
2017-05-12 22:00:00,otoño,356.0,8.0,0.0,998.0,11.9,0.6,101.0
