FECHA (YYMMDD);HORA (HHMM);;
040331;0100;;
040331;0200;;
040331;0300;;
040331;0400;;
040331;0500;;
040331;0600;;
040331;0700;;
040331;0800;;
040331;0900;;
040331;1000;;
040331;1100;;
040331;1200;;
040331;1300;;
040331;1400;;
040331;1500;;
040331;1600;;
040331;1700;;
040331;1800;;
040331;1900;;
040331;2000;;
040331;2100;;
040331;2200;;
040331;2300;;
040401;0000;96;
040401;0100;95;
040401;0200;96;
040401;0300;94;
040401;0400;93;
040401;0500;95;
040401;0600;96;
040401;0700;95;
040401;0800;93;
040401;0900;90;
040401;1000;85;
040401;1100;77;
040401;1200;71;
040401;1300;66;
040401;1400;65;
040401;1500;60;
040401;1600;58;
040401;1700;63;
040401;1800;64;
040401;1900;66;
040401;2000;66;
040401;2100;67;
040401;2200;68;
040401;2300;70;
040402;0000;71;
040402;0100;76;
040402;0200;81;
040402;0300;82;
040402;0400;81;
040402;0500;80;
040402;0600;83;
040402;0700;79;
040402;0800;75;
040402;0900;74;
040402;1000;75;
040402;1100;71;
040402;1200;66;
040402;1300;63;
040402;1400;65;
040402;1500;69;
040402;1600;67;
040402;1700;72;
040402;1800;64;
040402;1900;62;
040402;2000;63;
040402;2100;63;
040402;2200;64;
040402;2300;67;
040403;0000;68;
040403;0100;70;
040403;0200;73;
040403;0300;75;
040403;0400;74;
040403;0500;74;
040403;0600;81;
040403;0700;92;
040403;0800;93;
040403;0900;97;
040403;1000;99;
040403;1100;98;
040403;1200;93;
040403;1300;82;
040403;1400;67;
040403;1500;74;
040403;1600;78;
040403;1700;87;
040403;1800;92;
040403;1900;93;
040403;2000;94;
040403;2100;94;
040403;2200;97;
040403;2300;99;
040404;0000;99;
040404;0100;98;
040404;0200;98;
040404;0300;97;
040404;0400;97;
040404;0500;98;
040404;0600;99;
040404;0700;97;
040404;0800;95;
040404;0900;92;
040404;1000;90;
040404;1100;81;
040404;1200;76;
040404;1300;75;
040404;1400;74;
040404;1500;71;
040404;1600;69;
040404;1700;68;
040404;1800;74;
040404;1900;81;
040404;2000;86;
040404;2100;88;
040404;2200;89;
040404;2300;91;
040405;0000;92;
040405;0100;82;
040405;0200;81;
040405;0300;81;
040405;0400;81;
040405;0500;81;
040405;0600;77;
040405;0700;77;
040405;0800;77;
040405;0900;72;
040405;1000;72;
040405;1100;70;
040405;1200;73;
040405;1300;71;
040405;1400;77;
040405;1500;91;
040405;1600;97;
040405;1700;94;
040405;1800;91;
040405;1900;89;
040405;2000;90;
040405;2100;97;
040405;2200;98;
040405;2300;97;
040406;0000;99;
040406;0100;99;
040406;0200;99;
040406;0300;99;
040406;0400;100;
040406;0500;99;
040406;0600;95;
040406;0700;96;
040406;0800;98;
040406;0900;91;
040406;1000;84;
040406;1100;79;
040406;1200;79;
040406;1300;70;
040406;1400;61;
040406;1500;61;
040406;1600;61;
040406;1700;71;
040406;1800;77;
040406;1900;76;
040406;2000;85;
040406;2100;86;
040406;2200;94;
040406;2300;95;
040407;0000;91;
040407;0100;90;
040407;0200;92;
040407;0300;92;
040407;0400;91;
040407;0500;90;
040407;0600;89;
040407;0700;90;
040407;0800;91;
040407;0900;87;
040407;1000;82;
040407;1100;78;
040407;1200;62;
040407;1300;68;
040407;1400;73;
040407;1500;87;
040407;1600;91;
040407;1700;92;
040407;1800;93;
040407;1900;94;
040407;2000;94;
040407;2100;95;
040407;2200;95;
040407;2300;92;
040408;0000;95;
040408;0100;95;
040408;0200;93;
040408;0300;93;
040408;0400;94;
040408;0500;95;
040408;0600;95;
040408;0700;94;
040408;0800;91;
040408;0900;91;
040408;1000;91;
040408;1100;88;
040408;1200;82;
040408;1300;80;
040408;1400;74;
040408;1500;69;
040408;1600;64;
040408;1700;63;
040408;1800;69;
040408;1900;78;
040408;2000;85;
040408;2100;88;
040408;2200;91;
040408;2300;94;
040409;0000;95;
040409;0100;95;
040409;0200;95;
040409;0300;96;
040409;0400;96;
040409;0500;96;
040409;0600;96;
040409;0700;97;
040409;0800;97;
040409;0900;96;
040409;1000;96;
040409;1100;89;
040409;1200;77;
040409;1300;77;
040409;1400;77;
040409;1500;73;
040409;1600;73;
040409;1700;70;
040409;1800;75;
040409;1900;79;
040409;2000;84;
040409;2100;87;
040409;2200;89;
040409;2300;93;
040410;0000;95;
040410;0100;95;
040410;0200;95;
040410;0300;95;
040410;0400;95;
040410;0500;94;
040410;0600;95;
040410;0700;95;
040410;0800;96;
040410;0900;96;
040410;1000;85;
040410;1100;73;
040410;1200;67;
040410;1300;63;
040410;1400;60;
040410;1500;58;
040410;1600;55;
040410;1700;62;
040410;1800;66;
040410;1900;75;
040410;2000;81;
040410;2100;86;
040410;2200;89;
040410;2300;91;
040411;0000;92;
040411;0100;92;
040411;0200;92;
040411;0300;92;
040411;0400;94;
040411;0500;94;
040411;0600;92;
040411;0700;91;
040411;0800;92;
040411;0900;92;
040411;1000;82;
040411;1100;86;
040411;1200;89;
040411;1300;93;
040411;1400;95;
040411;1500;96;
040411;1600;95;
040411;1700;93;
040411;1800;87;
040411;1900;89;
040411;2000;83;
040411;2100;86;
040411;2200;93;
040411;2300;95;
040412;0000;95;
040412;0100;95;
040412;0200;92;
040412;0300;94;
040412;0400;95;
040412;0500;95;
040412;0600;95;
040412;0700;95;
040412;0800;95;
040412;0900;95;
040412;1000;87;
040412;1100;88;
040412;1200;87;
040412;1300;80;
040412;1400;87;
040412;1500;87;
040412;1600;85;
040412;1700;88;
040412;1800;87;
040412;1900;87;
040412;2000;91;
040412;2100;94;
040412;2200;94;
040412;2300;94;
040413;0000;93;
040413;0100;95;
040413;0200;96;
040413;0300;96;
040413;0400;96;
040413;0500;96;
040413;0600;96;
040413;0700;96;
040413;0800;96;
040413;0900;95;
040413;1000;72;
040413;1100;58;
040413;1200;56;
040413;1300;62;
040413;1400;65;
040413;1500;82;
040413;1600;73;
040413;1700;90;
040413;1800;90;
040413;1900;90;
040413;2000;94;
040413;2100;95;
040413;2200;94;
040413;2300;95;
040414;0000;95;
040414;0100;96;
040414;0200;96;
040414;0300;97;
040414;0400;97;
040414;0500;97;
040414;0600;97;
040414;0700;97;
040414;0800;97;
040414;0900;96;
040414;1000;94;
040414;1100;80;
040414;1200;78;
040414;1300;60;
040414;1400;49;
040414;1500;50;
040414;1600;47;
040414;1700;55;
040414;1800;69;
040414;1900;82;
040414;2000;90;
040414;2100;93;
040414;2200;94;
040414;2300;95;
040415;0000;95;
040415;0100;96;
040415;0200;96;
040415;0300;96;
040415;0400;96;
040415;0500;96;
040415;0600;96;
040415;0700;96;
040415;0800;96;
040415;0900;94;
040415;1000;83;
040415;1100;76;
040415;1200;63;
040415;1300;57;
040415;1400;56;
040415;1500;52;
040415;1600;57;
040415;1700;65;
040415;1800;71;
040415;1900;78;
040415;2000;83;
040415;2100;82;
040415;2200;83;
040415;2300;81;
040416;0000;77;
040416;0100;74;
040416;0200;72;
040416;0300;73;
040416;0400;75;
040416;0500;75;
040416;0600;83;
040416;0700;94;
040416;0800;95;
040416;0900;95;
040416;1000;90;
040416;1100;81;
040416;1200;77;
040416;1300;75;
040416;1400;67;
040416;1500;66;
040416;1600;64;
040416;1700;67;
040416;1800;68;
040416;1900;74;
040416;2000;83;
040416;2100;87;
040416;2200;87;
040416;2300;92;
040417;0000;90;
040417;0100;90;
040417;0200;88;
040417;0300;89;
040417;0400;91;
040417;0500;90;
040417;0600;91;
040417;0700;92;
040417;0800;92;
040417;0900;89;
040417;1000;82;
040417;1100;70;
040417;1200;68;
040417;1300;68;
040417;1400;67;
040417;1500;71;
040417;1600;71;
040417;1700;89;
040417;1800;94;
040417;1900;94;
040417;2000;93;
040417;2100;93;
040417;2200;92;
040417;2300;92;
040418;0000;94;
040418;0100;96;
040418;0200;96;
040418;0300;96;
040418;0400;96;
040418;0500;96;
040418;0600;96;
040418;0700;96;
040418;0800;96;
040418;0900;95;
040418;1000;88;
040418;1100;68;
040418;1200;61;
040418;1300;60;
040418;1400;53;
040418;1500;49;
040418;1600;47;
040418;1700;53;
040418;1800;60;
040418;1900;75;
040418;2000;82;
040418;2100;90;
040418;2200;93;
040418;2300;94;
040419;0000;95;
040419;0100;96;
040419;0200;96;
040419;0300;96;
040419;0400;96;
040419;0500;97;
040419;0600;97;
040419;0700;97;
040419;0800;97;
040419;0900;96;
040419;1000;94;
040419;1100;78;
040419;1200;67;
040419;1300;62;
040419;1400;62;
040419;1500;59;
040419;1600;57;
040419;1700;60;
040419;1800;66;
040419;1900;74;
040419;2000;78;
040419;2100;81;
040419;2200;82;
040419;2300;82;
040420;0000;89;
040420;0100;93;
040420;0200;95;
040420;0300;91;
040420;0400;91;
040420;0500;93;
040420;0600;94;
040420;0700;93;
040420;0800;90;
040420;0900;92;
040420;1000;93;
040420;1100;93;
040420;1200;95;
040420;1300;94;
040420;1400;94;
040420;1500;93;
040420;1600;95;
040420;1700;95;
040420;1800;96;
040420;1900;96;
040420;2000;94;
040420;2100;93;
040420;2200;91;
040420;2300;89;
040421;0000;93;
040421;0100;82;
040421;0200;85;
040421;0300;91;
040421;0400;94;
040421;0500;95;
040421;0600;94;
040421;0700;94;
040421;0800;95;
040421;0900;95;
040421;1000;93;
040421;1100;87;
040421;1200;74;
040421;1300;67;
040421;1400;64;
040421;1500;64;
040421;1600;71;
040421;1700;73;
040421;1800;75;
040421;1900;86;
040421;2000;91;
040421;2100;90;
040421;2200;91;
040421;2300;91;
040422;0000;92;
040422;0100;94;
040422;0200;95;
040422;0300;95;
040422;0400;95;
040422;0500;95;
040422;0600;95;
040422;0700;96;
040422;0800;95;
040422;0900;93;
040422;1000;90;
040422;1100;84;
040422;1200;78;
040422;1300;82;
040422;1400;78;
040422;1500;75;
040422;1600;81;
040422;1700;82;
040422;1800;86;
040422;1900;91;
040422;2000;93;
040422;2100;93;
040422;2200;93;
040422;2300;95;
040423;0000;95;
040423;0100;96;
040423;0200;96;
040423;0300;96;
040423;0400;97;
040423;0500;97;
040423;0600;97;
040423;0700;97;
040423;0800;97;
040423;0900;96;
040423;1000;96;
040423;1100;93;
040423;1200;70;
040423;1300;58;
040423;1400;55;
040423;1500;52;
040423;1600;47;
040423;1700;48;
040423;1800;67;
040423;1900;84;
040423;2000;91;
040423;2100;93;
040423;2200;94;
040423;2300;95;
040424;0000;95;
040424;0100;95;
040424;0200;95;
040424;0300;93;
040424;0400;90;
040424;0500;92;
040424;0600;92;
040424;0700;89;
040424;0800;88;
040424;0900;79;
040424;1000;72;
040424;1100;70;
040424;1200;64;
040424;1300;60;
040424;1400;58;
040424;1500;55;
040424;1600;49;
040424;1700;45;
040424;1800;55;
040424;1900;64;
040424;2000;83;
040424;2100;90;
040424;2200;92;
040424;2300;94;
040425;0000;94;
040425;0100;94;
040425;0200;95;
040425;0300;95;
040425;0400;96;
040425;0500;96;
040425;0600;96;
040425;0700;96;
040425;0800;96;
040425;0900;96;
040425;1000;96;
040425;1100;96;
040425;1200;95;
040425;1300;80;
040425;1400;65;
040425;1500;65;
040425;1600;62;
040425;1700;65;
040425;1800;79;
040425;1900;87;
040425;2000;91;
040425;2100;93;
040425;2200;94;
040425;2300;95;
040426;0000;96;
040426;0100;96;
040426;0200;96;
040426;0300;96;
040426;0400;96;
040426;0500;96;
040426;0600;97;
040426;0700;97;
040426;0800;97;
040426;0900;97;
040426;1000;96;
040426;1100;94;
040426;1200;91;
040426;1300;90;
040426;1400;89;
040426;1500;90;
040426;1600;85;
040426;1700;80;
040426;1800;85;
040426;1900;86;
040426;2000;87;
040426;2100;88;
040426;2200;88;
040426;2300;89;
040427;0000;89;
040427;0100;89;
040427;0200;90;
040427;0300;93;
040427;0400;93;
040427;0500;92;
040427;0600;92;
040427;0700;93;
040427;0800;93;
040427;0900;86;
040427;1000;78;
040427;1100;74;
040427;1200;72;
040427;1300;72;
040427;1400;72;
040427;1500;72;
040427;1600;74;
040427;1700;75;
040427;1800;76;
040427;1900;81;
040427;2000;89;
040427;2100;93;
040427;2200;94;
040427;2300;95;
040428;0000;93;
040428;0100;92;
040428;0200;92;
040428;0300;92;
040428;0400;91;
040428;0500;91;
040428;0600;91;
040428;0700;91;
040428;0800;92;
040428;0900;89;
040428;1000;78;
040428;1100;73;
040428;1200;67;
040428;1300;66;
040428;1400;62;
040428;1500;69;
040428;1600;67;
040428;1700;75;
040428;1800;73;
040428;1900;76;
040428;2000;80;
040428;2100;84;
040428;2200;89;
040428;2300;87;
040429;0000;82;
040429;0100;85;
040429;0200;82;
040429;0300;78;
040429;0400;78;
040429;0500;79;
