FECHA (YYMMDD);HORA (HHMM);;
040706;0100;;
040706;0200;;
040706;0300;;
040706;0400;;
040706;0500;;
040706;0600;;
040706;0700;;
040706;0800;;
040706;0900;;
040706;1000;;
040706;1100;;
040706;1200;;
040706;1300;;
040706;1400;;
040706;1500;;
040706;1600;;
040706;1700;;
040706;1800;;
040706;1900;;
040706;2000;;
040706;2100;;
040706;2200;;
040706;2300;;
040707;0000;0;
040707;0100;0;
040707;0200;0;
040707;0300;0;
040707;0400;0;
040707;0500;0;
040707;0600;0;
040707;0700;0;
040707;0800;0;
040707;0900;0;
040707;1000;0;
040707;1100;0;
040707;1200;0;
040707;1300;0,3;
040707;1400;0;
040707;1500;0;
040707;1600;0;
040707;1700;0;
040707;1800;0;
040707;1900;0;
040707;2000;0;
040707;2100;0;
040707;2200;0;
040707;2300;0;
040708;0000;0;
040708;0100;0;
040708;0200;0;
040708;0300;0;
040708;0400;0;
040708;0500;0;
040708;0600;0;
040708;0700;0;
040708;0800;0;
040708;0900;0;
040708;1000;0;
040708;1100;0;
040708;1200;0;
040708;1300;0;
040708;1400;0;
040708;1500;0;
040708;1600;0;
040708;1700;0,3;
040708;1800;0;
040708;1900;0,5;
040708;2000;1;
040708;2100;3,3;
040708;2200;4,39999;
040708;2300;4,8;
040709;0000;3,1;
040709;0100;2,8;
040709;0200;0,7;
040709;0300;0;
040709;0400;0,5;
040709;0500;0;
040709;0600;0;
040709;0700;0;
040709;0800;0;
040709;0900;0;
040709;1000;0;
040709;1100;0;
040709;1200;0;
040709;1300;0;
040709;1400;0;
040709;1500;0;
040709;1600;0;
040709;1700;0;
040709;1800;0;
040709;1900;0;
040709;2000;0;
040709;2100;0;
040709;2200;0;
040709;2300;0;
040710;0000;0;
040710;0100;0;
040710;0200;0;
040710;0300;0;
040710;0400;0;
040710;0500;0;
040710;0600;0;
040710;0700;0;
040710;0800;0;
040710;0900;0;
040710;1000;0;
040710;1100;0;
040710;1200;0;
040710;1300;0;
040710;1400;0;
040710;1500;0;
040710;1600;0;
040710;1700;0;
040710;1800;0;
040710;1900;0;
040710;2000;0;
040710;2100;0;
040710;2200;0;
040710;2300;0;
040711;0000;0;
040711;0100;0;
040711;0200;0;
040711;0300;0;
040711;0400;0;
040711;0500;0;
040711;0600;0;
040711;0700;0;
040711;0800;0;
040711;0900;0;
040711;1000;0;
040711;1100;0,3;
040711;1200;0;
040711;1300;0,3;
040711;1400;4,1;
040711;1500;0,5;
040711;1600;0,3;
040711;1700;0,2;
040711;1800;1,6;
040711;1900;0,3;
040711;2000;0,799998;
040711;2100;0,799998;
040711;2200;1;
040711;2300;0,5;
040712;0000;1;
040712;0100;0,799998;
040712;0200;2;
040712;0300;4,3;
040712;0400;2,3;
040712;0500;3,8;
040712;0600;4,1;
040712;0700;1,3;
040712;0800;0;
040712;0900;0,5;
040712;1000;1,8;
040712;1100;0,3;
040712;1200;2,1;
040712;1300;1;
040712;1400;1,3;
040712;1500;0,3;
040712;1600;0,3;
040712;1700;0;
040712;1800;4,8;
040712;1900;5,39999;
040712;2000;0;
040712;2100;0;
040712;2200;0;
040712;2300;0;
040713;0000;0;
