FECHA (YYMMDD);HORA (HHMM);;
050101;0100;15,2;
050101;0200;14,9;
050101;0300;15,2;
050101;0400;15,2;
050101;0500;15,1;
050101;0600;15;
050101;0700;14,9;
050101;0800;15,1;
050101;0900;15,6;
050101;1000;17;
050101;1100;18,6;
050101;1200;19,6;
050101;1300;21,3;
050101;1400;22,7;
050101;1500;23,7;
050101;1600;24,3;
050101;1700;23,8;
050101;1800;23,7;
050101;1900;22,2;
050101;2000;20,6;
050101;2100;18,9;
050101;2200;16,7;
050101;2300;15,6;
050102;0000;;
050102;0100;14,1;
050102;0200;13,8;
050102;0300;14;
050102;0400;13,6;
050102;0500;13,9;
050102;0600;13,8;
050102;0700;13,1;
050102;0800;14,3;
050102;0900;15,7;
050102;1000;18;
050102;1100;20,5;
050102;1200;22,2;
050102;1300;23,4;
050102;1400;23;
050102;1500;22,5;
050102;1600;22,1;
050102;1700;21,8;
050102;1800;21,5;
050102;1900;22;
050102;2000;21,4;
050102;2100;18,9;
050102;2200;16,1;
050102;2300;14,7;
050103;0000;;
050103;0100;13,1;
050103;0200;12,4;
050103;0300;11,9;
050103;0400;11,1;
050103;0500;11,3;
050103;0600;11,5;
050103;0700;11,6;
050103;0800;11,9;
050103;0900;12,9;
050103;1000;15,6;
050103;1100;18,3;
050103;1200;20,1;
050103;1300;21,2;
050103;1400;22,9;
050103;1500;23,7;
050103;1600;23,7;
050103;1700;22,3;
050103;1800;22,2;
050103;1900;21,9;
050103;2000;20,7;
050103;2100;17,1;
050103;2200;14,9;
050103;2300;14,5;
050104;0000;;
050104;0100;14,1;
050104;0200;13,9;
050104;0300;13,6;
050104;0400;13,3;
050104;0500;13,1;
050104;0600;12,7;
050104;0700;12,5;
050104;0800;12,8;
050104;0900;13,3;
050104;1000;13,9;
050104;1100;15;
050104;1200;18,2;
050104;1300;20,6;
050104;1400;22,4;
050104;1500;24,3;
050104;1600;25,2;
050104;1700;25,9;
050104;1800;25,5;
050104;1900;24,1;
050104;2000;22,6;
050104;2100;20,3;
050104;2200;17,4;
050104;2300;15,9;
050105;0000;;
050105;0100;14,3;
050105;0200;15,2;
050105;0300;14,5;
050105;0400;14,2;
050105;0500;13,5;
050105;0600;12,5;
050105;0700;12,4;
050105;0800;12,7;
050105;0900;13,4;
050105;1000;14,3;
050105;1100;16;
050105;1200;16,7;
050105;1300;17,6;
050105;1400;18,3;
050105;1500;19,5;
050105;1600;19,6;
050105;1700;19,4;
050105;1800;19,4;
050105;1900;18,6;
050105;2000;17,6;
050105;2100;16;
050105;2200;13,6;
050105;2300;11,9;
050106;0000;;
050106;0100;8,39998;
050106;0200;7,89999;
050106;0300;6,8;
050106;0400;6,2;
050106;0500;5,39999;
050106;0600;5,2;
050106;0700;5,1;
050106;0800;6,6;
050106;0900;9,7;
050106;1000;13;
050106;1100;15,5;
050106;1200;17,3;
050106;1300;18,3;
050106;1400;19,2;
050106;1500;20,2;
050106;1600;20,8;
050106;1700;20,3;
050106;1800;19,7;
050106;1900;18,8;
050106;2000;17,7;
050106;2100;15,9;
050106;2200;13,9;
050106;2300;12,6;
050107;0000;;
050107;0100;10,8;
050107;0200;10;
050107;0300;9,59998;
050107;0400;8;
050107;0500;7,6;
050107;0600;7,3;
050107;0700;6,39999;
050107;0800;8,7;
050107;0900;13,1;
050107;1000;15;
050107;1100;17,1;
050107;1200;19,1;
050107;1300;20,7;
050107;1400;21,9;
050107;1500;23,1;
050107;1600;23,9;
050107;1700;23;
050107;1800;22,8;
050107;1900;22,1;
050107;2000;20,9;
050107;2100;19;
050107;2200;16,7;
050107;2300;15,2;
050108;0000;;
050108;0100;12,8;
050108;0200;12,2;
050108;0300;11,3;
050108;0400;11,6;
050108;0500;12,4;
050108;0600;13;
050108;0700;12,9;
050108;0800;13;
050108;0900;13,7;
050108;1000;15,7;
050108;1100;16,9;
050108;1200;17,5;
050108;1300;20,3;
050108;1400;19,1;
050108;1500;19,8;
050108;1600;19,4;
050108;1700;18,5;
050108;1800;18,7;
050108;1900;18,4;
050108;2000;17,7;
050108;2100;15,3;
050108;2200;13,1;
050108;2300;11,2;
050109;0000;;
050109;0100;9,89998;
050109;0200;8,29999;
050109;0300;6,7;
050109;0400;6,3;
050109;0500;6,3;
050109;0600;5,7;
050109;0700;5,2;
050109;0800;6,8;
050109;0900;10,2;
050109;1000;12,9;
050109;1100;15,6;
050109;1200;17,3;
050109;1300;18,9;
050109;1400;20,4;
050109;1500;21,4;
050109;1600;22,2;
050109;1700;22,9;
050109;1800;22,6;
050109;1900;21,3;
050109;2000;19,9;
050109;2100;17,8;
050109;2200;14,7;
050109;2300;12,6;
050110;0000;;
050110;0100;10,6;
050110;0200;10,1;
050110;0300;9,5;
050110;0400;8,79999;
050110;0500;7,89999;
050110;0600;7,39999;
050110;0700;6,6;
050110;0800;8,2;
050110;0900;11,8;
050110;1000;14;
050110;1100;16,2;
050110;1200;18,2;
050110;1300;19,7;
050110;1400;21;
050110;1500;22;
050110;1600;22,5;
050110;1700;22,1;
050110;1800;22,2;
050110;1900;21,6;
050110;2000;20,3;
050110;2100;18,2;
050110;2200;15,6;
050110;2300;13,5;
050111;0000;;
050111;0100;11,5;
050111;0200;12,2;
050111;0300;12,1;
050111;0400;12,9;
050111;0500;11,3;
050111;0600;11,5;
050111;0700;10,9;
050111;0800;11,4;
050111;0900;12,7;
050111;1000;15,8;
050111;1100;19,8;
050111;1200;20,2;
050111;1300;21,4;
050111;1400;21,7;
050111;1500;22,3;
050111;1600;22,8;
050111;1700;22,5;
050111;1800;22,1;
050111;1900;20,4;
050111;2000;18,6;
050111;2100;16,4;
050111;2200;14,3;
050111;2300;12,8;
050112;0000;;
050112;0100;10,6;
050112;0200;10;
050112;0300;10;
050112;0400;8,5;
050112;0500;7,6;
050112;0600;6,89999;
050112;0700;7,39999;
050112;0800;8,09998;
050112;0900;10,5;
050112;1000;14,1;
050112;1100;16,7;
050112;1200;18;
050112;1300;18,8;
050112;1400;19,7;
050112;1500;20,4;
050112;1600;21,2;
050112;1700;21,3;
050112;1800;21,2;
050112;1900;20,1;
050112;2000;18,5;
050112;2100;16,5;
050112;2200;14;
050112;2300;12;
050113;0000;;
050113;0100;9,89998;
050113;0200;9,29999;
