FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090101;0100;;8,2;;
090101;0200;;6,89999;;
090101;0300;;6,6;;
090101;0400;;8,79999;;
090101;0500;;13,9;;
090101;0600;;12;;
090101;0700;;17,5;;
090101;0800;;25,8;;
090101;0900;;28,7;;
090101;1000;;25,6;;
090101;1100;;17,7;;
090101;1200;;13,1;;
090101;1300;;17,2;;
090101;1400;;21,8;;
090101;1500;;25,7;;
090101;1600;;21,3;;
090101;1700;;2,4;;
090101;1800;;6;;
090101;1900;;10,9;;
090101;2000;;13,5;;
090101;2100;;9,29999;;
090101;2200;;6,89999;;
090101;2300;;6,1;;
090102;0000;;4,39999;;
090102;0100;;4,1;;
090102;0200;;5;;
090102;0300;;5,1;;
090102;0400;;3;;
090102;0500;;1,8;;
090102;0600;;3,5;;
090102;0700;;8,29999;;
090102;0800;;13,1;;
090102;0900;;7;;
090102;1000;;10,1;;
090102;1100;;23,1;;
090102;1200;;28,1;;
090102;1300;;21,2;;
090102;1400;;12,6;;
090102;1500;;9,5;;
090102;1600;;9,7;;
090102;1700;;18;;
090102;1800;;32,4;;
090102;1900;;31,3;;
090102;2000;;19,5;;
090102;2100;;13,1;;
090102;2200;;9,09998;;
090102;2300;;6,6;;
090103;0000;;6;;
090103;0100;;5,7;;
090103;0200;;3,9;;
090103;0300;;3,1;;
090103;0400;;3,8;;
090103;0500;;6,89999;;
090103;0600;;16,3;;
090103;0700;;19,5;;
090103;0800;;15,1;;
090103;0900;;10,9;;
090103;1000;;9,89998;;
090103;1100;;10,6;;
090103;1200;;22,2;;
090103;1300;;33,7;;
090103;1400;;33,7;;
090103;1500;;28,9;;
090103;1600;;19,3;;
090103;1700;;7,39999;;
090103;1800;;7,5;;
090103;1900;;7,1;;
090103;2000;;5,39999;;
090103;2100;;5,2;;
090103;2200;;3,9;;
090103;2300;;2,1;;
090104;0000;;1,5;;
090104;0100;;1,4;;
090104;0200;;1,1;;
090104;0300;;1,6;;
090104;0400;;3,5;;
090104;0500;;4;;
090104;0600;;3,9;;
090104;0700;;3,9;;
090104;0800;;3,7;;
090104;0900;;11,7;;
090104;1000;;21,4;;
090104;1100;;17,9;;
090104;1200;;19,3;;
090104;1300;;29,1;;
090104;1400;;25;;
090104;1500;;19,2;;
090104;1600;;12,8;;
090104;1700;;8,29999;;
090104;1800;;6,1;;
090104;1900;;5,5;;
090104;2000;;6,5;;
090104;2100;;6,5;;
090104;2200;;5;;
090104;2300;;2,7;;
090105;0000;;2,6;;
090105;0100;;2,8;;
090105;0200;;2,3;;
090105;0300;;3,5;;
090105;0400;;6,1;;
090105;0500;;6,7;;
090105;0600;;5,5;;
090105;0700;;7,39999;;
090105;0800;;8,39998;;
090105;0900;;10;;
090105;1000;;17,8;;
090105;1100;;19,3;;
090105;1200;;25,7;;
090105;1300;;28,2;;
090105;1400;;15,9;;
090105;1500;;8,89998;;
090105;1600;;9,79999;;
090105;1700;;18,1;;
090105;1800;;19,8;;
090105;1900;;12,6;;
090105;2000;;7,8;;
090105;2100;;5,3;;
090105;2200;;3;;
090105;2300;;2,1;;
