FECHA (YYMMDD);HORA (HHMM);;
050101;0100;1002;
050101;0200;1002;
050101;0300;1002;
050101;0400;1001;
050101;0500;1001;
050101;0600;1001;
050101;0700;1001;
050101;0800;1002;
050101;0900;1002;
050101;1000;1002;
050101;1100;1002;
050101;1200;1002;
050101;1300;1002;
050101;1400;1001;
050101;1500;1001;
050101;1600;1001;
050101;1700;1001;
050101;1800;1001;
050101;1900;1001;
050101;2000;1001;
050101;2100;1002;
050101;2200;1002;
050101;2300;1003;
050102;0000;;
050102;0100;1003;
050102;0200;1003;
050102;0300;1003;
050102;0400;1003;
050102;0500;1003;
050102;0600;1002;
050102;0700;1003;
050102;0800;1003;
050102;0900;1003;
050102;1000;1003;
050102;1100;1003;
050102;1200;1003;
050102;1300;1003;
050102;1400;1003;
050102;1500;1003;
050102;1600;1003;
050102;1700;1003;
050102;1800;1003;
050102;1900;1003;
050102;2000;1003;
050102;2100;1003;
050102;2200;1004;
050102;2300;1004;
050103;0000;;
050103;0100;1004;
050103;0200;1004;
050103;0300;1004;
050103;0400;1003;
050103;0500;1003;
050103;0600;1002;
050103;0700;1002;
050103;0800;1002;
050103;0900;1001;
050103;1000;1000;
050103;1100;1000;
050103;1200;999;
050103;1300;999;
050103;1400;998;
050103;1500;998;
050103;1600;998;
050103;1700;998;
050103;1800;998;
050103;1900;998;
050103;2000;998;
050103;2100;999;
050103;2200;999;
050103;2300;1000;
050104;0000;;
050104;0100;1000;
050104;0200;999;
050104;0300;999;
050104;0400;998;
050104;0500;999;
050104;0600;999;
050104;0700;999;
050104;0800;999;
050104;0900;1000;
050104;1000;1000;
050104;1100;1000;
050104;1200;999;
050104;1300;999;
050104;1400;998;
050104;1500;998;
050104;1600;998;
050104;1700;997;
050104;1800;997;
050104;1900;997;
050104;2000;998;
050104;2100;998;
050104;2200;998;
050104;2300;999;
050105;0000;;
050105;0100;999;
050105;0200;998;
050105;0300;999;
050105;0400;999;
050105;0500;999;
050105;0600;999;
050105;0700;1000;
050105;0800;1001;
050105;0900;1002;
050105;1000;1002;
050105;1100;1003;
050105;1200;1003;
050105;1300;1004;
050105;1400;1004;
050105;1500;1004;
050105;1600;1004;
050105;1700;1004;
050105;1800;1004;
050105;1900;1005;
050105;2000;1005;
050105;2100;1006;
050105;2200;1006;
050105;2300;1006;
050106;0000;;
050106;0100;1006;
050106;0200;1005;
050106;0300;1005;
050106;0400;1004;
050106;0500;1003;
050106;0600;1003;
050106;0700;1003;
050106;0800;1003;
050106;0900;1003;
050106;1000;1002;
050106;1100;1002;
050106;1200;1001;
050106;1300;1000;
050106;1400;1000;
050106;1500;999;
050106;1600;999;
050106;1700;999;
050106;1800;999;
050106;1900;999;
050106;2000;999;
050106;2100;1000;
