FECHA (YYMMDD);HORA (HHMM);;
140322;0100;;
140322;0200;;
140322;0300;;
140322;0400;;
140322;0500;;
140322;0600;;
140322;0700;;
140322;0800;;
140322;0900;;
140322;1000;;
140322;1100;;
140322;1200;;
140322;1300;;
140322;1400;;
140322;1500;;
140322;1600;;
140322;1700;;
140322;1800;;
140322;1900;;
140322;2000;;
140322;2100;1001;
140322;2200;1002;
140322;2300;1002;
140323;0000;1002;
140323;0100;1002;
140323;0200;1002;
140323;0300;1002;
140323;0400;1002;
140323;0500;1002;
140323;0600;1003;
140323;0700;1003;
140323;0800;1003;
140323;0900;1004;
140323;1000;1004;
140323;1100;1004;
140323;1200;1004;
140323;1300;1003;
140323;1400;1002;
140323;1500;1001;
140323;1600;1001;
140323;1700;1001;
140323;1800;1001;
140323;1900;1002;
140323;2000;1002;
140323;2100;1003;
140323;2200;1004;
140323;2300;1003;
140324;0000;1003;
140324;0100;1003;
140324;0200;1003;
140324;0300;1003;
140324;0400;1003;
140324;0500;1003;
140324;0600;1003;
140324;0700;1004;
140324;0800;1004;
140324;0900;1004;
140324;1000;1005;
140324;1100;1004;
140324;1200;1004;
140324;1300;1003;
140324;1400;1003;
140324;1500;1003;
140324;1600;1002;
140324;1700;1002;
140324;1800;1003;
140324;1900;1003;
140324;2000;1004;
140324;2100;1004;
140324;2200;1005;
140324;2300;1005;
140325;0000;1005;
140325;0100;1005;
140325;0200;1004;
140325;0300;1004;
140325;0400;1004;
140325;0500;1004;
140325;0600;1004;
140325;0700;1004;
140325;0800;1004;
140325;0900;1004;
140325;1000;1003;
140325;1100;1003;
140325;1200;1002;
140325;1300;1001;
140325;1400;999;
140325;1500;998;
140325;1600;997;
140325;1700;996;
140325;1800;996;
140325;1900;996;
140325;2000;997;
140325;2100;998;
140325;2200;998;
140325;2300;998;
140326;0000;998;
140326;0100;998;
140326;0200;998;
140326;0300;998;
140326;0400;997;
140326;0500;998;
140326;0600;998;
140326;0700;998;
140326;0800;998;
140326;0900;998;
140326;1000;998;
140326;1100;998;
140326;1200;997;
140326;1300;997;
140326;1400;997;
140326;1500;996;
140326;1600;995;
140326;1700;996;
140326;1800;997;
140326;1900;998;
140326;2000;999;
140326;2100;999;
140326;2200;1000;
140326;2300;1000;
140327;0000;1000;
140327;0100;1001;
140327;0200;1000;
140327;0300;1000;
140327;0400;1000;
140327;0500;1000;
140327;0600;1000;
140327;0700;1000;
140327;0800;1000;
140327;0900;1000;
140327;1000;1000;
140327;1100;1001;
140327;1200;1000;
140327;1300;1000;
140327;1400;1000;
140327;1500;999;
140327;1600;999;
140327;1700;999;
140327;1800;999;
140327;1900;1000;
140327;2000;1000;
140327;2100;1001;
140327;2200;1001;
140327;2300;1001;
140328;0000;1001;
140328;0100;1000;
140328;0200;1000;
140328;0300;1000;
140328;0400;999;
140328;0500;998;
140328;0600;998;
140328;0700;998;
140328;0800;998;
140328;0900;998;
140328;1000;998;
140328;1100;998;
140328;1200;998;
140328;1300;998;
140328;1400;997;
140328;1500;996;
140328;1600;996;
140328;1700;996;
140328;1800;996;
140328;1900;996;
140328;2000;996;
140328;2100;996;
140328;2200;996;
140328;2300;996;
140329;0000;996;
140329;0100;995;
140329;0200;995;
140329;0300;995;
140329;0400;994;
140329;0500;994;
140329;0600;994;
140329;0700;993;
140329;0800;993;
140329;0900;993;
140329;1000;993;
140329;1100;992;
140329;1200;991;
140329;1300;991;
140329;1400;990;
140329;1500;989;
140329;1600;988;
140329;1700;987;
140329;1800;988;
140329;1900;990;
140329;2000;992;
140329;2100;993;
140329;2200;995;
140329;2300;996;
140330;0000;996;
140330;0100;997;
140330;0200;998;
140330;0300;998;
140330;0400;998;
140330;0500;998;
140330;0600;999;
140330;0700;999;
140330;0800;1000;
140330;0900;1000;
140330;1000;1000;
140330;1100;1000;
140330;1200;999;
140330;1300;999;
140330;1400;999;
140330;1500;998;
140330;1600;998;
140330;1700;998;
140330;1800;998;
140330;1900;998;
140330;2000;998;
140330;2100;999;
140330;2200;999;
140330;2300;999;
140331;0000;999;
140331;0100;999;
140331;0200;999;
140331;0300;999;
140331;0400;999;
140331;0500;999;
140331;0600;1000;
140331;0700;1000;
140331;0800;1001;
140331;0900;1001;
140331;1000;1002;
140331;1100;1003;
140331;1200;1004;
140331;1300;1004;
140331;1400;1004;
140331;1500;1004;
140331;1600;1004;
140331;1700;1005;
140331;1800;1005;
140331;1900;1005;
140331;2000;1006;
140331;2100;1006;
140331;2200;1007;
140331;2300;1007;
140401;0000;1007;
140401;0100;1006;
140401;0200;1006;
140401;0300;1006;
140401;0400;1006;
140401;0500;1005;
140401;0600;1005;
140401;0700;1005;
140401;0800;1005;
140401;0900;1005;
140401;1000;1005;
140401;1100;1005;
140401;1200;1004;
140401;1300;1003;
140401;1400;1003;
140401;1500;1002;
140401;1600;1001;
140401;1700;1001;
140401;1800;1001;
140401;1900;1001;
140401;2000;1001;
140401;2100;1001;
140401;2200;1002;
140401;2300;1001;
140402;0000;1001;
140402;0100;1001;
140402;0200;1000;
140402;0300;1000;
140402;0400;999;
140402;0500;999;
140402;0600;999;
140402;0700;1000;
140402;0800;1000;
140402;0900;1000;
140402;1000;1000;
140402;1100;1001;
140402;1200;1000;
140402;1300;1000;
140402;1400;1000;
140402;1500;999;
140402;1600;999;
140402;1700;999;
140402;1800;1000;
140402;1900;1001;
140402;2000;1001;
140402;2100;1002;
140402;2200;1002;
140402;2300;1002;
140403;0000;1002;
140403;0100;1002;
140403;0200;1002;
140403;0300;1002;
140403;0400;1001;
140403;0500;1001;
140403;0600;1001;
140403;0700;1001;
140403;0800;1001;
140403;0900;1001;
140403;1000;1001;
140403;1100;1001;
140403;1200;1001;
140403;1300;1002;
140403;1400;1001;
140403;1500;1001;
140403;1600;1001;
140403;1700;1001;
140403;1800;1002;
140403;1900;1002;
140403;2000;1003;
140403;2100;1003;
140403;2200;1003;
140403;2300;1003;
140404;0000;1003;
140404;0100;1002;
140404;0200;1002;
140404;0300;1002;
140404;0400;1002;
140404;0500;1002;
140404;0600;1002;
140404;0700;1002;
140404;0800;1002;
140404;0900;1003;
140404;1000;1003;
140404;1100;1003;
140404;1200;1003;
140404;1300;1002;
140404;1400;1002;
140404;1500;1002;
140404;1600;1002;
140404;1700;1002;
140404;1800;1002;
140404;1900;1003;
140404;2000;1003;
140404;2100;1004;
140404;2200;1004;
140404;2300;1004;
140405;0000;1003;
140405;0100;1003;
140405;0200;1002;
140405;0300;1002;
140405;0400;1001;
140405;0500;1001;
140405;0600;1001;
140405;0700;1001;
140405;0800;1002;
140405;0900;1002;
140405;1000;1002;
140405;1100;1002;
140405;1200;1002;
140405;1300;1001;
140405;1400;1001;
140405;1500;1001;
140405;1600;1001;
140405;1700;1000;
140405;1800;1000;
140405;1900;1000;
140405;2000;1000;
140405;2100;1000;
140405;2200;1000;
140405;2300;1000;
140406;0000;999;
140406;0100;999;
140406;0200;998;
140406;0300;998;
140406;0400;997;
140406;0500;997;
140406;0600;997;
140406;0700;997;
140406;0800;997;
140406;0900;998;
140406;1000;998;
140406;1100;998;
140406;1200;998;
140406;1300;998;
140406;1400;998;
140406;1500;998;
140406;1600;998;
140406;1700;999;
140406;1800;999;
140406;1900;999;
140406;2000;1000;
140406;2100;1001;
140406;2200;1001;
140406;2300;1001;
140407;0000;1002;
140407;0100;1001;
140407;0200;1002;
140407;0300;1002;
140407;0400;1002;
140407;0500;1002;
140407;0600;1002;
140407;0700;1003;
140407;0800;1003;
140407;0900;1003;
140407;1000;1003;
140407;1100;1004;
140407;1200;1003;
140407;1300;1003;
140407;1400;1003;
140407;1500;1003;
140407;1600;1002;
140407;1700;1003;
140407;1800;1003;
140407;1900;1003;
140407;2000;1004;
140407;2100;1004;
140407;2200;1004;
140407;2300;1004;
140408;0000;1004;
140408;0100;1004;
140408;0200;1003;
140408;0300;1003;
140408;0400;1003;
140408;0500;1003;
140408;0600;1003;
140408;0700;1004;
140408;0800;1004;
140408;0900;1005;
140408;1000;1004;
140408;1100;1004;
140408;1200;1004;
140408;1300;1004;
140408;1400;1003;
140408;1500;1003;
140408;1600;1003;
140408;1700;1002;
140408;1800;1002;
140408;1900;1002;
140408;2000;1002;
140408;2100;1002;
140408;2200;1002;
140408;2300;1002;
140409;0000;1002;
140409;0100;1002;
140409;0200;1001;
140409;0300;1001;
140409;0400;1001;
140409;0500;1001;
140409;0600;1001;
140409;0700;1001;
140409;0800;1002;
140409;0900;1002;
140409;1000;1002;
140409;1100;1002;
140409;1200;1003;
140409;1300;1003;
140409;1400;1003;
140409;1500;1003;
140409;1600;1003;
140409;1700;1003;
140409;1800;1004;
140409;1900;1005;
140409;2000;1005;
140409;2100;1006;
140409;2200;1007;
140409;2300;1007;
140410;0000;1007;
140410;0100;1008;
140410;0200;1008;
140410;0300;1008;
140410;0400;1007;
140410;0500;1007;
140410;0600;1008;
140410;0700;1009;
140410;0800;1009;
140410;0900;1009;
140410;1000;1010;
140410;1100;1009;
140410;1200;1009;
140410;1300;1009;
140410;1400;1008;
140410;1500;1007;
140410;1600;1007;
140410;1700;1007;
140410;1800;1007;
140410;1900;1007;
140410;2000;1007;
140410;2100;1007;
140410;2200;1007;
140410;2300;1007;
140411;0000;1006;
140411;0100;1006;
140411;0200;1005;
140411;0300;1004;
140411;0400;1003;
140411;0500;1002;
140411;0600;1002;
140411;0700;1002;
140411;0800;1001;
140411;0900;1001;
140411;1000;1001;
140411;1100;1000;
140411;1200;1000;
140411;1300;1000;
140411;1400;1001;
140411;1500;1001;
140411;1600;1002;
140411;1700;1003;
140411;1800;1005;
140411;1900;1006;
140411;2000;1007;
140411;2100;1008;
140411;2200;1009;
140411;2300;1010;
140412;0000;1010;
140412;0100;1011;
140412;0200;1011;
140412;0300;1011;
140412;0400;1011;
140412;0500;1011;
140412;0600;1012;
140412;0700;1012;
140412;0800;1012;
140412;0900;1013;
140412;1000;1013;
140412;1100;1013;
140412;1200;1012;
140412;1300;1012;
140412;1400;1011;
140412;1500;1010;
140412;1600;1010;
140412;1700;1010;
140412;1800;1009;
140412;1900;1009;
140412;2000;1010;
140412;2100;1010;
140412;2200;1010;
140412;2300;1010;
140413;0000;1010;
140413;0100;1009;
140413;0200;1009;
140413;0300;1009;
140413;0400;1008;
140413;0500;1008;
140413;0600;1008;
140413;0700;1008;
140413;0800;1008;
140413;0900;1008;
140413;1000;1008;
140413;1100;1008;
140413;1200;1007;
140413;1300;1007;
140413;1400;1006;
140413;1500;1006;
140413;1600;1005;
140413;1700;1005;
140413;1800;1005;
140413;1900;1005;
140413;2000;1006;
140413;2100;1006;
140413;2200;1006;
140413;2300;1006;
140414;0000;1006;
140414;0100;1006;
140414;0200;1006;
140414;0300;1005;
140414;0400;1005;
140414;0500;1004;
140414;0600;1004;
140414;0700;1005;
140414;0800;1004;
140414;0900;1004;
140414;1000;1005;
140414;1100;1005;
140414;1200;1004;
140414;1300;1003;
140414;1400;1001;
140414;1500;1000;
140414;1600;1000;
140414;1700;1000;
140414;1800;1000;
140414;1900;1000;
140414;2000;1000;
140414;2100;1001;
140414;2200;1001;
140414;2300;1001;
140415;0000;1001;
140415;0100;1001;
140415;0200;1001;
