FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
170511;0100;26;;;
170511;0200;24;;;
170511;0300;27;;;
170511;0400;6;;;
170511;0500;4;;;
170511;0600;5;;;
170511;0700;17;;;
170511;0800;29;;;
170511;0900;41;;;
170511;1000;41;;;
170511;1100;41;;;
170511;1200;11;;;
170511;1300;11;;;
170511;1400;7;;;
170511;1500;3;;;
170511;1600;3;;;
170511;1700;2;;;
170511;1800;4;;;
170511;1900;11;;;
170511;2000;13;;;
170511;2100;21;;;
170511;2200;22;;;
170511;2300;2;;;
170512;0000;4;;;
170512;0100;7;;;
170512;0200;4;;;
170512;0300;2;;;
170512;0400;2;;;
170512;0500;2;;;
170512;0600;2;;;
170512;0700;2;;;
170512;0800;3;;;
170512;0900;4;;;
170512;1000;3;;;
170512;1100;5;;;
170512;1200;5;;;
170512;1300;3;;;
170512;1400;5;;;
170512;1500;7;;;
170512;1600;3;;;
170512;1700;2;;;
170512;1800;2;;;
170512;1900;19;;;
170512;2000;136;;;
170512;2100;70;;;
170512;2200;101;;;
170512;2300;52;;;
170513;0000;26;;;
170513;0100;14;;;
170513;0200;18;;;
170513;0300;16;;;
170513;0400;13;;;
170513;0500;9;;;
170513;0600;8;;;
170513;0700;10;;;
170513;0800;25;;;
170513;0900;16;;;
170513;1000;24;;;
170513;1100;8;;;
170513;1200;8;;;
170513;1300;6;;;
170513;1400;15;;;
170513;1500;8;;;
170513;1600;;;;
170513;1700;;;3;
170513;1800;;;2;
170513;1900;;;2;
170513;2000;;;2;
170513;2100;;;2;
170513;2200;;;2;
170513;2300;;;2;
170514;0000;;;2;
170514;0100;;;2;
170514;0200;;;2;
170514;0300;;;2;
170514;0400;;;2;
170514;0500;;;2;
170514;0600;;;3;
170514;0700;;;2;
170514;0800;;;2;
170514;0900;;;3;
170514;1000;;;2;
170514;1100;;;2;
170514;1200;;;2;
170514;1300;;;2;
170514;1400;;;2;
170514;1500;;;2;
170514;1600;;;2;
170514;1700;;;2;
170514;1800;;;3;
170514;1900;;;2;
170514;2000;;;2;
170514;2100;;;2;
170514;2200;;;2;
170514;2300;;;2;
170515;0000;;;2;
170515;0100;;;2;
170515;0200;;;2;
170515;0300;;;2;
170515;0400;;;2;
170515;0500;;;2;
170515;0600;;;2;
170515;0700;;;2;
170515;0800;;;2;
170515;0900;;;2;
170515;1000;;;2;
170515;1100;;;2;
170515;1200;;;2;
170515;1300;;;2;
170515;1400;;;2;
170515;1500;;;2;
170515;1600;;;2;
170515;1700;;;2;
170515;1800;;;2;
170515;1900;;;3;
170515;2000;;;2;
170515;2100;;;2;
170515;2200;;;2;
170515;2300;;;2;
170516;0000;;;2;
170516;0100;;;2;
170516;0200;;;2;
170516;0300;;;2;
170516;0400;;;2;
170516;0500;;;2;
170516;0600;;;2;
170516;0700;;;3;
170516;0800;;;2;
170516;0900;;;2;
170516;1000;;;2;
170516;1100;;;2;
170516;1200;;;2;
170516;1300;;;2;
170516;1400;;;2;
170516;1500;;;3;
170516;1600;;;3;
170516;1700;;;;
170516;1800;15;;;
170516;1900;13;;;
170516;2000;12;;;
170516;2100;9;;;
170516;2200;6;;;
170516;2300;3;;;
170517;0000;3;;;
170517;0100;6;;;
170517;0200;4;;;
170517;0300;4;;;
170517;0400;3;;;
170517;0500;2;;;
170517;0600;2;;;
170517;0700;4;;;
170517;0800;8;;;
170517;0900;27;;;
170517;1000;20;;;
170517;1100;10;;;
170517;1200;8;;;
170517;1300;6;;;
170517;1400;7;;;
170517;1500;8;;;
170517;1600;6;;;
170517;1700;22;;;
170517;1800;33;;;
170517;1900;20;;;
170517;2000;15;;;
170517;2100;33;;;
170517;2200;42;;;
170517;2300;33;;;
170518;0000;28;;;
170518;0100;74;;;
170518;0200;58;;;
170518;0300;39;;;
170518;0400;38;;;
170518;0500;35;;;
170518;0600;31;;;
170518;0700;19;;;
170518;0800;15;;;
170518;0900;16;;;
170518;1000;29;;;
170518;1100;45;;;
170518;1200;22;;;
170518;1300;14;;;
170518;1400;12;;;
170518;1500;10;;;
170518;1600;8;;;
170518;1700;20;;;
170518;1800;61;;;
170518;1900;106;;;
170518;2000;80;;;
170518;2100;83;;;
170518;2200;72;;;
170518;2300;97;;;
170519;0000;56;;;
170519;0100;56;;;
170519;0200;27;;;
170519;0300;9;;;
170519;0400;23;;;
170519;0500;72;;;
170519;0600;36;;;
170519;0700;39;;;
170519;0800;58;;;
170519;0900;113;;;
170519;1000;111;;;
170519;1100;144;;;
170519;1200;81;;;
170519;1300;48;;;
170519;1400;71;;;
170519;1500;53;;;
170519;1600;51;;;
170519;1700;39;;;
170519;1800;49;;;
170519;1900;71;;;
170519;2000;224;;;
170519;2100;296;;;
170519;2200;292;;;
170519;2300;95;;;
170520;0000;56;;;
170520;0100;31;;;
170520;0200;30;;;
170520;0300;64;;;
170520;0400;28;;;
170520;0500;36;;;
170520;0600;19;;;
170520;0700;22;;;
170520;0800;25;;;
170520;0900;43;;;
170520;1000;49;;;
170520;1100;41;;;
170520;1200;46;;;
170520;1300;38;;;
170520;1400;46;;;
170520;1500;;;;
170520;1600;;;;
170520;1700;;;;
170520;1800;;;;
170520;1900;;;;
170520;2000;;;;
170520;2100;;;;
170520;2200;;;;
170520;2300;;;;
170521;0000;;;;
170521;0100;;;;
170521;0200;;;;
170521;0300;;;;
170521;0400;;;;
170521;0500;;;;
170521;0600;;;;
170521;0700;;;;
170521;0800;;;;
170521;0900;;;;
170521;1000;;;;
170521;1100;;;;
170521;1200;;;;
170521;1300;;;;
170521;1400;;;;
170521;1500;;;;
170521;1600;;;;
170521;1700;;;;
170521;1800;;;;
170521;1900;;;;
170521;2000;;;;
170521;2100;;;;
170521;2200;;;;
170521;2300;;;;
170522;0000;;;;
170522;0100;;;;
170522;0200;;;;
170522;0300;;;;
170522;0400;;;;
170522;0500;;;;
170522;0600;;;;
170522;0700;;;;
170522;0800;;;;
170522;0900;;;;
170522;1000;;;;
170522;1100;;;;
170522;1200;;;;
170522;1300;;;;
170522;1400;;;;
170522;1500;;;;
170522;1600;;;;
170522;1700;;;;
170522;1800;;;;
170522;1900;;;;
170522;2000;;;;
170522;2100;;;;
170522;2200;;;;
170522;2300;;;;
170523;0000;;;;
170523;0100;;;;
170523;0200;;;;
170523;0300;;;;
170523;0400;;;;
170523;0500;;;;
170523;0600;;;;
170523;0700;;;;
170523;0800;;;;
170523;0900;;;;
170523;1000;;;;
170523;1100;;;;
170523;1200;;;;
170523;1300;;;;
170523;1400;;;;
170523;1500;;;;
170523;1600;;;;
170523;1700;;;;
170523;1800;;;;
170523;1900;;;;
170523;2000;;;;
170523;2100;;;;
170523;2200;;;;
170523;2300;;;;
170524;0000;;;;
170524;0100;;;;
170524;0200;;;;
