FECHA (YYMMDD);HORA (HHMM);;
050101;0100;0;
050101;0200;0;
050101;0300;0;
050101;0400;0;
050101;0500;0;
050101;0600;0;
050101;0700;2;
050101;0800;25;
050101;0900;63;
050101;1000;214;
050101;1100;288;
050101;1200;348;
050101;1300;695;
050101;1400;823;
050101;1500;917;
050101;1600;811;
050101;1700;750;
050101;1800;644;
050101;1900;477;
050101;2000;247;
050101;2100;93;
050101;2200;5;
050101;2300;0;
050102;0000;;
050102;0100;0;
050102;0200;0;
050102;0300;0;
050102;0400;0;
050102;0500;0;
050102;0600;0;
050102;0700;4;
050102;0800;47;
050102;0900;158;
050102;1000;520;
050102;1100;706;
050102;1200;866;
050102;1300;799;
050102;1400;576;
050102;1500;964;
050102;1600;766;
050102;1700;630;
050102;1800;449;
050102;1900;511;
050102;2000;292;
050102;2100;94;
050102;2200;3;
050102;2300;0;
050103;0000;;
050103;0100;0;
050103;0200;0;
050103;0300;0;
050103;0400;0;
050103;0500;0;
050103;0600;0;
050103;0700;7;
050103;0800;69;
050103;0900;267;
050103;1000;416;
050103;1100;744;
050103;1200;876;
050103;1300;963;
050103;1400;1046;
050103;1500;1009;
050103;1600;961;
050103;1700;781;
050103;1800;693;
050103;1900;488;
050103;2000;295;
050103;2100;92;
050103;2200;3;
050103;2300;0;
050104;0000;;
050104;0100;0;
050104;0200;0;
050104;0300;0;
050104;0400;0;
050104;0500;0;
050104;0600;0;
050104;0700;3;
050104;0800;41;
050104;0900;81;
050104;1000;166;
050104;1100;433;
050104;1200;890;
050104;1300;975;
050104;1400;1020;
050104;1500;1011;
050104;1600;933;
050104;1700;808;
050104;1800;679;
050104;1900;519;
050104;2000;284;
050104;2100;86;
050104;2200;3;
050104;2300;0;
050105;0000;;
050105;0100;0;
050105;0200;0;
050105;0300;0;
050105;0400;0;
050105;0500;0;
050105;0600;0;
050105;0700;2;
050105;0800;34;
050105;0900;133;
050105;1000;258;
050105;1100;570;
050105;1200;657;
050105;1300;855;
050105;1400;924;
050105;1500;1069;
050105;1600;974;
050105;1700;865;
050105;1800;681;
050105;1900;524;
050105;2000;303;
050105;2100;104;
050105;2200;3;
050105;2300;0;
050106;0000;;
050106;0100;0;
050106;0200;0;
050106;0300;0;
050106;0400;0;
050106;0500;0;
050106;0600;0;
050106;0700;9;
050106;0800;145;
050106;0900;333;
050106;1000;538;
050106;1100;740;
050106;1200;892;
050106;1300;993;
050106;1400;1044;
050106;1500;1002;
050106;1600;974;
050106;1700;818;
050106;1800;697;
050106;1900;505;
050106;2000;288;
050106;2100;96;
050106;2200;4;
050106;2300;0;
050107;0000;;
050107;0100;0;
050107;0200;0;
050107;0300;0;
050107;0400;0;
050107;0500;0;
050107;0600;0;
050107;0700;7;
050107;0800;145;
050107;0900;335;
050107;1000;532;
050107;1100;735;
050107;1200;883;
050107;1300;984;
050107;1400;1030;
050107;1500;1011;
050107;1600;977;
050107;1700;846;
050107;1800;695;
050107;1900;505;
050107;2000;286;
050107;2100;95;
050107;2200;3;
050107;2300;0;
050108;0000;;
050108;0100;0;
050108;0200;0;
050108;0300;0;
050108;0400;0;
050108;0500;0;
050108;0600;0;
050108;0700;4;
050108;0800;75;
050108;0900;97;
050108;1000;231;
050108;1100;226;
050108;1200;451;
050108;1300;502;
050108;1400;359;
050108;1500;614;
050108;1600;431;
050108;1700;234;
050108;1800;395;
050108;1900;380;
050108;2000;313;
050108;2100;92;
050108;2200;3;
050108;2300;0;
050109;0000;;
050109;0100;0;
050109;0200;0;
050109;0300;0;
050109;0400;0;
050109;0500;0;
050109;0600;0;
050109;0700;7;
050109;0800;140;
050109;0900;336;
050109;1000;550;
050109;1100;752;
050109;1200;903;
050109;1300;1008;
050109;1400;1058;
050109;1500;1049;
050109;1600;990;
050109;1700;866;
050109;1800;709;
050109;1900;516;
050109;2000;294;
050109;2100;96;
050109;2200;3;
050109;2300;0;
050110;0000;;
050110;0100;0;
050110;0200;0;
050110;0300;0;
050110;0400;0;
050110;0500;0;
050110;0600;0;
050110;0700;7;
050110;0800;127;
050110;0900;296;
050110;1000;541;
050110;1100;739;
050110;1200;889;
050110;1300;990;
050110;1400;1035;
050110;1500;1030;
050110;1600;969;
050110;1700;847;
050110;1800;694;
050110;1900;514;
050110;2000;294;
050110;2100;97;
050110;2200;3;
050110;2300;0;
050111;0000;;
050111;0100;0;
050111;0200;0;
050111;0300;0;
050111;0400;0;
050111;0500;0;
050111;0600;0;
050111;0700;7;
050111;0800;66;
050111;0900;175;
050111;1000;405;
050111;1100;617;
050111;1200;617;
050111;1300;596;
050111;1400;883;
050111;1500;1000;
050111;1600;960;
050111;1700;846;
050111;1800;680;
050111;1900;486;
050111;2000;289;
050111;2100;87;
050111;2200;4;
050111;2300;0;
050112;0000;;
050112;0100;0;
050112;0200;0;
050112;0300;0;
050112;0400;0;
050112;0500;0;
050112;0600;0;
050112;0700;3;
050112;0800;64;
050112;0900;271;
050112;1000;528;
050112;1100;684;
050112;1200;915;
050112;1300;1001;
050112;1400;1044;
050112;1500;1034;
050112;1600;969;
050112;1700;848;
050112;1800;697;
050112;1900;506;
050112;2000;283;
050112;2100;92;
050112;2200;3;
050112;2300;0;
050113;0000;;
050113;0100;0;
050113;0200;0;
050113;0300;0;
050113;0400;0;
050113;0500;0;
050113;0600;0;
050113;0700;5;
050113;0800;126;
050113;0900;318;
050113;1000;522;
050113;1100;724;
050113;1200;877;
050113;1300;977;
050113;1400;1025;
050113;1500;1016;
050113;1600;958;
050113;1700;840;
050113;1800;691;
050113;1900;501;
050113;2000;275;
050113;2100;87;
050113;2200;3;
050113;2300;0;
050114;0000;;
050114;0100;0;
050114;0200;0;
050114;0300;0;
050114;0400;0;
050114;0500;0;
050114;0600;0;
050114;0700;1;
050114;0800;77;
050114;0900;228;
050114;1000;506;
050114;1100;475;
050114;1200;474;
050114;1300;727;
050114;1400;443;
050114;1500;608;
050114;1600;913;
050114;1700;;
050114;1800;;
050114;1900;;
050114;2000;;
050114;2100;;
050114;2200;;
050114;2300;;
050115;0000;;
050115;0100;;
050115;0200;;
050115;0300;;
050115;0400;;
050115;0500;;
050115;0600;;
050115;0700;;
050115;0800;;
050115;0900;;
050115;1000;;
050115;1100;;
050115;1200;;
050115;1300;;
050115;1400;;
050115;1500;;
050115;1600;;
050115;1700;;
050115;1800;;
050115;1900;;
050115;2000;;
050115;2100;;
050115;2200;;
050115;2300;;
050116;0000;;
050116;0100;;
050116;0200;;
050116;0300;;
050116;0400;;
050116;0500;;
050116;0600;;
050116;0700;;
050116;0800;;
050116;0900;;
050116;1000;;
050116;1100;;
050116;1200;;
050116;1300;;
050116;1400;;
050116;1500;;
050116;1600;;
050116;1700;;
050116;1800;;
050116;1900;;
050116;2000;;
050116;2100;;
050116;2200;;
050116;2300;;
050117;0000;;
050117;0100;0;
050117;0200;0;
050117;0300;0;
050117;0400;0;
050117;0500;0;
050117;0600;0;
050117;0700;1;
050117;0800;36;
050117;0900;162;
050117;1000;493;
050117;1100;700;
050117;1200;864;
050117;1300;970;
050117;1400;1035;
050117;1500;1034;
050117;1600;983;
050117;1700;852;
050117;1800;699;
050117;1900;510;
050117;2000;282;
050117;2100;87;
050117;2200;3;
050117;2300;0;
050118;0000;;
050118;0100;0;
050118;0200;0;
050118;0300;0;
050118;0400;0;
050118;0500;0;
050118;0600;0;
050118;0700;1;
050118;0800;93;
050118;0900;286;
050118;1000;492;
050118;1100;696;
050118;1200;857;
050118;1300;966;
050118;1400;1024;
050118;1500;1020;
050118;1600;971;
050118;1700;850;
050118;1800;699;
050118;1900;508;
050118;2000;279;
050118;2100;86;
050118;2200;3;
050118;2300;0;
050119;0000;;
050119;0100;0;
050119;0200;0;
050119;0300;0;
050119;0400;0;
050119;0500;0;
050119;0600;0;
050119;0700;1;
050119;0800;92;
050119;0900;255;
050119;1000;453;
050119;1100;702;
050119;1200;859;
050119;1300;966;
050119;1400;1023;
050119;1500;1023;
050119;1600;970;
050119;1700;847;
050119;1800;696;
050119;1900;502;
050119;2000;274;
050119;2100;88;
050119;2200;3;
050119;2300;0;
050120;0000;;
050120;0100;0;
050120;0200;0;
050120;0300;0;
050120;0400;0;
050120;0500;0;
050120;0600;0;
050120;0700;1;
050120;0800;87;
050120;0900;277;
050120;1000;475;
050120;1100;681;
050120;1200;843;
050120;1300;948;
050120;1400;1004;
050120;1500;1005;
050120;1600;958;
050120;1700;846;
050120;1800;699;
050120;1900;506;
050120;2000;276;
050120;2100;84;
050120;2200;2;
050120;2300;0;
050121;0000;;
050121;0100;0;
050121;0200;0;
050121;0300;0;
050121;0400;0;
050121;0500;0;
050121;0600;0;
050121;0700;1;
050121;0800;43;
050121;0900;93;
050121;1000;195;
050121;1100;295;
050121;1200;251;
050121;1300;226;
050121;1400;275;
050121;1500;285;
050121;1600;143;
050121;1700;219;
050121;1800;60;
050121;1900;137;
050121;2000;60;
050121;2100;43;
050121;2200;2;
050121;2300;0;
050122;0000;;
050122;0100;0;
050122;0200;0;
050122;0300;0;
050122;0400;0;
050122;0500;0;
050122;0600;0;
050122;0700;1;
050122;0800;71;
050122;0900;285;
050122;1000;284;
050122;1100;631;
050122;1200;804;
050122;1300;860;
050122;1400;867;
050122;1500;777;
050122;1600;807;
050122;1700;695;
050122;1800;721;
050122;1900;496;
050122;2000;283;
050122;2100;88;
050122;2200;2;
050122;2300;0;
050123;0000;;
050123;0100;0;
050123;0200;0;
050123;0300;0;
050123;0400;0;
050123;0500;0;
050123;0600;0;
050123;0700;1;
050123;0800;86;
050123;0900;287;
050123;1000;480;
050123;1100;719;
050123;1200;492;
050123;1300;468;
050123;1400;741;
050123;1500;651;
050123;1600;454;
050123;1700;288;
050123;1800;141;
050123;1900;102;
050123;2000;71;
050123;2100;24;
050123;2200;1;
050123;2300;0;
050124;0000;;
050124;0100;0;
050124;0200;0;
050124;0300;0;
050124;0400;0;
050124;0500;0;
050124;0600;0;
050124;0700;1;
050124;0800;43;
050124;0900;169;
050124;1000;524;
050124;1100;702;
050124;1200;869;
050124;1300;981;
050124;1400;1037;
050124;1500;1035;
050124;1600;979;
050124;1700;856;
050124;1800;697;
050124;1900;500;
050124;2000;281;
050124;2100;85;
050124;2200;1;
050124;2300;0;
050125;0000;;
050125;0100;0;
050125;0200;0;
050125;0300;0;
050125;0400;0;
050125;0500;0;
050125;0600;0;
050125;0700;1;
050125;0800;79;
050125;0900;277;
050125;1000;489;
050125;1100;693;
050125;1200;860;
050125;1300;967;
050125;1400;1025;
050125;1500;1026;
050125;1600;969;
050125;1700;847;
050125;1800;688;
050125;1900;493;
050125;2000;277;
050125;2100;81;
050125;2200;1;
050125;2300;0;
050126;0000;;
050126;0100;0;
050126;0200;0;
050126;0300;0;
050126;0400;0;
050126;0500;0;
050126;0600;0;
050126;0700;1;
050126;0800;57;
050126;0900;216;
050126;1000;473;
050126;1100;0;
050126;1200;842;
050126;1300;949;
050126;1400;1009;
050126;1500;1008;
050126;1600;954;
050126;1700;832;
050126;1800;676;
050126;1900;489;
050126;2000;203;
050126;2100;56;
050126;2200;2;
050126;2300;0;
050127;0000;;
050127;0100;0;
050127;0200;0;
