FECHA (YYMMDD);HORA (HHMM);;
040331;0100;;
040331;0200;;
040331;0300;;
040331;0400;;
040331;0500;;
040331;0600;;
040331;0700;;
040331;0800;;
040331;0900;;
040331;1000;;
040331;1100;;
040331;1200;;
040331;1300;;
040331;1400;;
040331;1500;;
040331;1600;;
040331;1700;;
040331;1800;;
040331;1900;;
040331;2000;;
040331;2100;;
040331;2200;;
040331;2300;;
040401;0000;2,5;
040401;0100;3,5;
040401;0200;3,3;
040401;0300;3,7;
040401;0400;2,9;
040401;0500;2,5;
040401;0600;1,4;
040401;0700;0,9;
040401;0800;0,799998;
040401;0900;1,1;
040401;1000;2,4;
040401;1100;3,5;
040401;1200;3,7;
040401;1300;3,4;
040401;1400;3,1;
040401;1500;3,9;
040401;1600;2,3;
040401;1700;2,6;
040401;1800;3,4;
040401;1900;2;
040401;2000;2,2;
040401;2100;4;
040401;2200;3,1;
040401;2300;0,599998;
040402;0000;1,6;
040402;0100;0,799998;
040402;0200;0,2;
040402;0300;1;
040402;0400;1,4;
040402;0500;1,6;
040402;0600;1,6;
040402;0700;1,5;
040402;0800;3,5;
040402;0900;4,3;
040402;1000;4,2;
040402;1100;3,9;
040402;1200;4,7;
040402;1300;5,8;
040402;1400;5,8;
040402;1500;6,6;
040402;1600;6,1;
040402;1700;6,3;
040402;1800;8,09998;
040402;1900;8,59998;
040402;2000;6,5;
040402;2100;6,5;
040402;2200;5,5;
040402;2300;4,5;
040403;0000;5,1;
040403;0100;5,39999;
040403;0200;6,5;
040403;0300;6;
040403;0400;6,2;
040403;0500;6,8;
040403;0600;6,6;
040403;0700;4,89999;
040403;0800;5,3;
040403;0900;2,5;
040403;1000;0,599998;
040403;1100;1;
040403;1200;1,2;
040403;1300;0,9;
040403;1400;1,1;
040403;1500;1,6;
040403;1600;1,9;
040403;1700;1,9;
040403;1800;1,5;
040403;1900;1,2;
040403;2000;1;
040403;2100;0,9;
040403;2200;0,9;
040403;2300;0,7;
040404;0000;0,9;
040404;0100;0,799998;
040404;0200;0,9;
040404;0300;0,599998;
040404;0400;0,2;
040404;0500;0,2;
040404;0600;0,3;
040404;0700;0,9;
040404;0800;0,5;
040404;0900;0,2;
040404;1000;0,5;
040404;1100;1,2;
040404;1200;0,7;
040404;1300;1,3;
040404;1400;1,6;
040404;1500;1,9;
040404;1600;2,6;
040404;1700;3,1;
040404;1800;1,9;
040404;1900;2,1;
040404;2000;0,799998;
040404;2100;0,3;
040404;2200;0,2;
040404;2300;0,2;
040405;0000;0,4;
040405;0100;2,3;
040405;0200;2,6;
040405;0300;3,2;
040405;0400;3,1;
040405;0500;3,4;
040405;0600;4,3;
040405;0700;4,39999;
040405;0800;3,9;
040405;0900;5,1;
040405;1000;5,1;
040405;1100;5,8;
040405;1200;5,1;
040405;1300;5,1;
040405;1400;3,8;
040405;1500;1,6;
040405;1600;1,4;
040405;1700;3,5;
040405;1800;3,1;
040405;1900;2,6;
040405;2000;2,4;
040405;2100;1,3;
040405;2200;0,799998;
040405;2300;2,5;
040406;0000;0,9;
040406;0100;0,5;
040406;0200;0,599998;
040406;0300;0,799998;
040406;0400;0,599998;
040406;0500;0,799998;
040406;0600;2,3;
040406;0700;2;
040406;0800;0,799998;
040406;0900;3,5;
040406;1000;3,5;
040406;1100;5;
040406;1200;4,5;
040406;1300;4,89999;
040406;1400;4,3;
040406;1500;4,39999;
040406;1600;4,5;
040406;1700;4,1;
040406;1800;2,7;
040406;1900;2,2;
040406;2000;0,7;
040406;2100;0,799998;
040406;2200;0,799998;
040406;2300;0,599998;
040407;0000;0,9;
040407;0100;0,4;
040407;0200;0,799998;
040407;0300;1;
040407;0400;1,3;
040407;0500;1,3;
040407;0600;1,2;
040407;0700;1,2;
040407;0800;1,5;
040407;0900;1,6;
040407;1000;1,6;
040407;1100;2,2;
040407;1200;1,2;
040407;1300;4,7;
040407;1400;2,9;
040407;1500;2,4;
040407;1600;1,6;
040407;1700;2,2;
040407;1800;2,8;
040407;1900;2,1;
040407;2000;1,3;
040407;2100;0,5;
040407;2200;0,4;
040407;2300;1,7;
040408;0000;1,5;
040408;0100;1;
040408;0200;1,4;
040408;0300;0,4;
040408;0400;0,7;
040408;0500;0,3;
040408;0600;0,2;
040408;0700;0,2;
040408;0800;0,3;
040408;0900;0,3;
040408;1000;0,9;
040408;1100;0,9;
040408;1200;1,6;
040408;1300;1,2;
040408;1400;1,4;
040408;1500;1,8;
040408;1600;1,9;
040408;1700;1,8;
040408;1800;1;
040408;1900;1,6;
040408;2000;1,6;
040408;2100;1,2;
040408;2200;1,2;
040408;2300;0,3;
040409;0000;0,2;
040409;0100;0,2;
040409;0200;0,2;
040409;0300;0,2;
040409;0400;0,2;
040409;0500;0,4;
040409;0600;0,3;
040409;0700;0,3;
040409;0800;1;
040409;0900;0,4;
040409;1000;0,3;
040409;1100;0,3;
040409;1200;0,4;
040409;1300;0,7;
040409;1400;1,6;
040409;1500;1,4;
040409;1600;1,6;
040409;1700;1,1;
040409;1800;0,4;
040409;1900;1,3;
040409;2000;0,4;
040409;2100;0,3;
040409;2200;0,2;
040409;2300;0,2;
040410;0000;0,2;
040410;0100;0,2;
040410;0200;0,2;
040410;0300;0,5;
040410;0400;0,4;
040410;0500;0,3;
040410;0600;0,5;
040410;0700;0,2;
040410;0800;0,5;
040410;0900;0,599998;
040410;1000;1,3;
040410;1100;1;
040410;1200;0,5;
040410;1300;0,3;
040410;1400;1,1;
040410;1500;0,7;
040410;1600;1,1;
040410;1700;1,8;
040410;1800;0,9;
040410;1900;0,3;
040410;2000;0,3;
040410;2100;0,2;
040410;2200;0,2;
040410;2300;0,2;
040411;0000;0,2;
040411;0100;0,3;
040411;0200;0,599998;
040411;0300;0,9;
040411;0400;1,1;
040411;0500;0,7;
040411;0600;1,1;
040411;0700;1,2;
040411;0800;2,5;
040411;0900;2;
040411;1000;2,2;
040411;1100;3,1;
040411;1200;1,8;
040411;1300;2,5;
040411;1400;0,7;
040411;1500;1,5;
040411;1600;3;
040411;1700;3,9;
040411;1800;4,1;
040411;1900;4,2;
040411;2000;4,89999;
040411;2100;5,39999;
040411;2200;5;
040411;2300;3,6;
040412;0000;1,7;
040412;0100;1,2;
040412;0200;1,1;
040412;0300;0,3;
040412;0400;0,4;
040412;0500;1,4;
040412;0600;1,8;
040412;0700;1,7;
040412;0800;1;
040412;0900;0,3;
040412;1000;1,1;
040412;1100;3;
040412;1200;2,2;
040412;1300;3,4;
040412;1400;3,2;
040412;1500;1;
040412;1600;2,2;
040412;1700;1,8;
040412;1800;1,3;
040412;1900;1,1;
040412;2000;0,4;
040412;2100;0,3;
040412;2200;0,4;
040412;2300;0,4;
040413;0000;1,8;
040413;0100;0,5;
040413;0200;0,7;
040413;0300;0,799998;
040413;0400;1;
040413;0500;0,3;
040413;0600;0,7;
040413;0700;0,7;
040413;0800;0,7;
040413;0900;0,9;
040413;1000;2,5;
040413;1100;3,2;
040413;1200;2,8;
040413;1300;3,4;
040413;1400;3,2;
040413;1500;1,9;
040413;1600;2,8;
040413;1700;3,2;
040413;1800;0,4;
040413;1900;0,2;
040413;2000;0,3;
040413;2100;0,3;
040413;2200;0,3;
040413;2300;0,2;
040414;0000;0,799998;
040414;0100;0,3;
040414;0200;0,9;
040414;0300;1,4;
040414;0400;0,5;
040414;0500;0,3;
040414;0600;1,4;
040414;0700;0,599998;
040414;0800;0,3;
040414;0900;0,5;
040414;1000;0,5;
040414;1100;0,3;
040414;1200;0,4;
040414;1300;0,3;
040414;1400;0,4;
040414;1500;0,9;
040414;1600;1,5;
040414;1700;1,9;
040414;1800;1,8;
040414;1900;0,2;
040414;2000;0,2;
040414;2100;0,2;
040414;2200;0,2;
040414;2300;0,2;
040415;0000;0,2;
040415;0100;0,2;
040415;0200;0,2;
040415;0300;0,2;
040415;0400;0,2;
040415;0500;0,2;
040415;0600;0,2;
040415;0700;0,3;
040415;0800;1,2;
040415;0900;0,7;
040415;1000;0,4;
040415;1100;0,5;
040415;1200;0,2;
040415;1300;0,2;
040415;1400;0,5;
040415;1500;0,599998;
040415;1600;1,1;
040415;1700;1;
040415;1800;0,5;
040415;1900;0,7;
040415;2000;0,2;
040415;2100;0,3;
040415;2200;0,3;
040415;2300;0,799998;
040416;0000;1,2;
040416;0100;2,6;
040416;0200;2,5;
040416;0300;2,4;
040416;0400;3;
040416;0500;3,7;
040416;0600;3,9;
040416;0700;2,3;
040416;0800;2,5;
040416;0900;2,2;
040416;1000;1,6;
040416;1100;1,6;
040416;1200;1,1;
040416;1300;1,4;
040416;1400;0,4;
040416;1500;0,2;
040416;1600;0,2;
040416;1700;1,1;
040416;1800;0,3;
040416;1900;1;
040416;2000;0,2;
040416;2100;0,2;
040416;2200;0,2;
040416;2300;0,2;
040417;0000;0,2;
040417;0100;0,2;
040417;0200;0,0999998;
040417;0300;0,2;
040417;0400;0,2;
040417;0500;0,0999998;
040417;0600;0,2;
040417;0700;0,2;
040417;0800;0,3;
040417;0900;0,4;
040417;1000;0,2;
040417;1100;1;
040417;1200;2,3;
040417;1300;2,4;
040417;1400;2,6;
040417;1500;3,6;
040417;1600;3,2;
040417;1700;3,4;
040417;1800;2,6;
040417;1900;1,3;
040417;2000;0,9;
040417;2100;0,599998;
040417;2200;0,3;
040417;2300;0,2;
040418;0000;0,2;
040418;0100;0,2;
040418;0200;0,2;
040418;0300;0,2;
040418;0400;0,2;
040418;0500;0,2;
040418;0600;0,2;
040418;0700;0,2;
040418;0800;0,2;
040418;0900;0,2;
040418;1000;0,2;
040418;1100;0,799998;
040418;1200;1,9;
040418;1300;2,2;
040418;1400;2,3;
040418;1500;3,1;
040418;1600;2,8;
040418;1700;2,3;
040418;1800;1,3;
040418;1900;1,3;
040418;2000;0,3;
040418;2100;0,2;
040418;2200;0,2;
040418;2300;0,2;
040419;0000;0,2;
040419;0100;0,2;
040419;0200;0,2;
040419;0300;0,2;
040419;0400;0,2;
040419;0500;0,2;
040419;0600;0,2;
040419;0700;0,2;
040419;0800;0,2;
040419;0900;0,3;
040419;1000;0,4;
040419;1100;1,6;
040419;1200;1,9;
040419;1300;2,4;
040419;1400;3,3;
040419;1500;3,1;
040419;1600;2,8;
040419;1700;1,8;
040419;1800;2,5;
040419;1900;1,6;
040419;2000;1;
040419;2100;0,599998;
040419;2200;0,799998;
040419;2300;0,4;
040420;0000;0,2;
040420;0100;0,3;
040420;0200;0,599998;
040420;0300;1,3;
040420;0400;1,1;
040420;0500;1,6;
040420;0600;1,8;
040420;0700;2,9;
040420;0800;3,5;
040420;0900;2,7;
040420;1000;2,3;
040420;1100;2,2;
040420;1200;0,799998;
040420;1300;1,4;
040420;1400;2,2;
040420;1500;2,4;
040420;1600;1,4;
040420;1700;0,4;
040420;1800;0,3;
040420;1900;0,5;
040420;2000;2,2;
040420;2100;2,3;
040420;2200;1,8;
040420;2300;1,2;
040421;0000;1,6;
040421;0100;2,6;
040421;0200;4,2;
040421;0300;3,5;
040421;0400;3,6;
040421;0500;2,6;
040421;0600;3,5;
040421;0700;2,3;
040421;0800;2,1;
040421;0900;1,3;
040421;1000;1,4;
040421;1100;0,9;
040421;1200;1;
040421;1300;0,5;
040421;1400;1,1;
040421;1500;1,2;
040421;1600;1,2;
040421;1700;1,4;
040421;1800;0,799998;
040421;1900;0,3;
040421;2000;0,3;
040421;2100;0,2;
040421;2200;0,5;
040421;2300;0,3;
040422;0000;0,2;
040422;0100;0,4;
040422;0200;0,599998;
040422;0300;0,3;
040422;0400;0,599998;
040422;0500;0,2;
040422;0600;0,3;
040422;0700;0,2;
040422;0800;1,1;
040422;0900;1,4;
040422;1000;1,3;
040422;1100;0,799998;
040422;1200;0,799998;
040422;1300;0,599998;
040422;1400;0,2;
040422;1500;0,4;
040422;1600;1,2;
040422;1700;1,4;
040422;1800;0,599998;
040422;1900;0,2;
040422;2000;0,2;
040422;2100;0,2;
040422;2200;0,2;
040422;2300;0,2;
040423;0000;0,2;
040423;0100;0,2;
040423;0200;0,2;
040423;0300;0,2;
040423;0400;0,2;
040423;0500;0,5;
040423;0600;0,3;
040423;0700;0,3;
040423;0800;0,599998;
040423;0900;0,7;
040423;1000;0,4;
040423;1100;0,4;
040423;1200;0,4;
040423;1300;0,5;
040423;1400;0,7;
040423;1500;0,599998;
040423;1600;0,5;
040423;1700;0,4;
040423;1800;0,3;
040423;1900;0,2;
040423;2000;0,2;
040423;2100;0,2;
040423;2200;0,2;
040423;2300;0,9;
040424;0000;1,1;
040424;0100;0,799998;
